"region_final","test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","BV_num","BV_num_LL","BV_num_UL","BY_num","BY_num_LL","BY_num_UL","flu_num","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","BV_num_roll","BV_num_roll_LL","BV_num_roll_UL","BY_num_roll","BY_num_roll_LL","BY_num_roll_UL","flu_num_roll","test_roll","diff"
"Europe",40480,187.015100585689,149.401668380702,220.428482867108,103.984899414311,70.5715171328925,141.598331619298,19.5,6.03348684569309,31.4077177801202,12.5,0.592282219879776,25.9665131543069,323,2023-10-09,190.649411848887,152.242014406194,225.238188634076,112.550588151113,77.9618113659244,150.957985593806,21.73,7.51165496103165,34.7391932721504,13.67,0.660806727849407,27.8883450389681,338.6,39273.2,7
"Europe",43457,190.272325798823,156.128588103713,221.762752178214,125.727674201177,94.2372478217861,159.871411896286,22.9,7.71658939120109,36.3305969078103,14.1,0.66940309218968,29.2834106087989,353,2023-10-16,260.156454435616,216.526520042193,299.594198942709,142.243545564385,102.805801057291,185.873479957806,27.755,11.4674195337966,42.0825859065856,15.045,0.717414093414149,31.3325804662031,445.2,43510.6,7
"Europe",46585,301.194235846113,249.555061745178,347.106910146448,185.805764153887,139.893089853552,237.444938254822,41.5,19.9059932468009,61.007862948801,20.5,0.992137051198988,42.0940067531991,549,2023-10-23,360.757105406444,308.979512711691,408.175729652926,183.042894593556,135.624270347074,234.820487288308,35.205,16.0495911951013,51.9615024161857,17.595,0.838497583814013,36.7504088048985,596.6,46713.2,7
"Europe",48845,457.870978483882,396.625477091104,514.406588980639,212.129021516118,155.59341101936,273.374522908896,40.625,20.3038228638249,57.1919631721763,17.375,0.808036827823713,37.6961771361751,728,2023-10-30,513.045342047517,450.762725352078,569.423472427985,221.954657952483,165.576527572015,284.237274647921,42.5434615384616,20.5175623492329,61.6476031621492,20.0565384615384,0.952396837850603,42.0824376507669,797.6,50187.8,7
"Europe",54199,667.432886317712,593.186768237762,737.173914092223,287.567113682288,217.826085907778,361.813231762238,51.5,26.2880636279873,73.8693712720218,23.5,1.13062872797816,48.7119363720127,1030,2023-11-06,757.438730054692,678.770148764385,827.875716644819,295.761269945309,225.32428335518,374.429851235615,50.3329853479854,25.4876276002711,72.1081859785173,22.8670146520146,1.09181402148243,47.7123723997287,1126.4,53882.2,7
"Europe",57853,948.456283791055,858.317731582636,1026.6671967424,298.543716208945,220.332803257596,388.682268417365,56.1923076923077,28.3733426163511,79.8382215099373,24.8076923076923,1.16177849006272,52.6266573836489,1328,2023-11-13,1117.56144316225,1016.24206762048,1206.94511151255,396.638556837752,307.254888487447,497.957932379522,55.9806043956044,28.5497095053158,80.183767581093,25.4193956043956,1.21623241890676,52.850290494684,1595.6,57694.8,7
"Europe",61929,1412.2392658347,1296.16570516525,1514.02397326239,494.760734165305,392.976026737614,610.834294834754,61.847619047619,32.5669156463919,88.6335109896512,28.152380952381,1.3664890103488,57.4330843536081,1997,2023-11-20,1762.5754933617,1630.18560431961,1879.57037453797,604.2245066383,487.22962546203,736.614395680386,63.4402197802198,32.0298431978067,91.7639939432057,29.7597802197802,1.43600605679406,61.1701568021931,2460,62613.4,7
"Europe",65648,2101.8078013839,1936.91465602564,2242.45388448512,690.192198616104,549.546115514885,855.085343974361,69.7380952380953,35.2164027720243,101.385770961679,33.2619047619048,1.61422903832064,67.7835972279757,2895,2023-11-27,2985.21178291149,2785.65296030653,3162.29797331067,1011.38821708851,834.302026689332,1210.94703969347,85.6735531135531,40.8209494536803,127.084127771707,43.5264468864469,2.11587222829302,88.3790505463195,4125.8,68128.4,7
"Europe",73438,3682.94122948114,3466.34316058679,3877.53290410773,1250.05877051886,1055.46709589227,1466.65683941321,77.9230769230769,37.7044913262796,115.09309498274,39.0769230769231,1.90690501726023,79.2955086737204,5050,2023-12-04,4872.19954220344,4571.0385459541,5137.02362566173,1551.60045779657,1286.77637433827,1852.7614540459,101.57398046398,51.2462604153081,148.025776236103,48.8260195360195,2.37422376389627,99.1537395846917,6574.2,73242,7
"Europe",81774,6780.61433406666,6370.52354817233,7150.81190795571,2323.38566593335,1953.18809204429,2733.47645182767,162.666666666667,70.2435949073551,250.470040414527,92.3333333333333,4.52995958547298,184.756405092645,9359,2023-12-11,6963.1957551786,6557.78734390864,7320.3833243832,2214.8042448214,1857.6166756168,2620.21265609135,112.836576168929,56.1984473014586,165.313063048557,55.1634238310709,2.6869369514431,111.801552698541,9346,75633,7
"Europe",83421,10383.3950802508,9785.2456598205,10900.2954584977,2999.60491974921,2482.7045415023,3597.7543401795,135.694444444444,80.4998974244903,184.546463831921,51.3055555555556,2.45353616807897,106.50010257551,13570,2023-12-18,8912.49059679529,8418.34867715123,9349.15655816162,2900.90940320471,2464.24344183839,3395.05132284876,133.494512676866,66.5759445496196,195.801910371362,65.5054873231344,3.19808962863809,132.42405545038,12012.4,79698,7
"Europe",73884,11867.2203307105,11229.909694938,12430.8224668697,3810.77966928949,3247.17753313026,4448.09030506204,118.160597572362,57.3278500771442,175.069945051917,59.8394024276377,2.93005494808295,120.672149922856,15856,2023-12-25,10184.9100016724,9619.48327553512,10682.71816372,3429.28999832764,2931.48183627997,3994.71672446487,147.241948574302,72.9797941083361,216.636047548892,72.9580514256985,3.56395245110787,147.220205891664,13834.4,81780.4,7
"Europe",85973,11848.2820094674,11239.7213222386,12386.3200533772,4120.71799053263,3582.6799466228,4729.27867776141,173.027777777778,87.1038890128295,253.830007575704,84.9722222222222,4.16999242429557,170.896110987171,16227,2024-01-01,10831.0890040381,10227.2808329956,11359.8308779604,3849.1109959619,3320.36912203959,4452.91916700445,150.463672712233,79.8400023698419,215.479114716226,68.3363272877674,3.3208852837734,138.959997630158,14899,81530.4,7
"Europe",83850,10045.0382538665,9472.01615250624,10545.3409318998,3891.96174613352,3391.65906810018,4464.98384749377,146.660256410256,69.7237391198619,219.263780870391,76.3397435897436,3.73621912960915,153.276260880138,14160,2024-01-08,11071.9953148718,10471.9037052536,11599.457933772,4245.00468512824,3717.54206622798,4845.09629474643,173.675428081047,89.3149870054109,252.174009620343,82.5245719189532,4.02599037965689,166.885012994589,15573.2,81342.4,7
"Europe",80524,10011.5093458953,9409.51133547448,10536.3754791576,4422.49065410466,3897.62452084242,5024.48866452552,178.775287356322,104.544636214884,244.685376251199,69.2247126436782,3.31462374880061,143.455363785116,14682,2024-01-15,10787.9491763556,10160.6350677558,11341.7789257105,4476.85082364435,3923.02107428946,5104.1649322442,204.221249743045,108.952926588019,292.485602536492,92.7787502569551,4.51439746350789,188.047073411981,15561.8,82497.8,7
"Europe",82481,11587.9266344191,11008.3600211106,12098.4307375557,4979.07336558088,4468.56926244425,5558.63997888943,251.753221288515,127.874820602335,368.020938352504,122.246778711485,5.97906164749644,246.125179397665,16941,2024-01-22,10331.5685381192,9698.34101417799,10893.7138782962,4473.63146188082,3911.48612170382,5106.85898582201,238.772360854156,134.093054537439,334.159048112942,100.227639145844,4.84095188705779,204.906945462561,15144.2,80935.2,7
"Europe",79661,10446.9896381299,9673.56650744913,11142.4274265624,4970.01036187006,4274.57257343764,5743.43349255087,270.889705882353,155.517547990185,376.627909632662,111.110294117647,5.37209036733792,226.482452009815,15799,2024-01-29,9783.85630214662,9158.22539258218,10342.4932987152,4405.54369785337,3846.90670128484,5031.17460741782,295.153102835752,174.909374351183,404.82699941112,115.246897164248,5.57300058887964,235.490625648816,14599.8,78663.6,7
"Europe",78160,9566.37881828503,8928.25105434954,10145.9948163054,4104.62118171496,3525.0051836946,4742.74894565047,345.783333333333,212.804528759926,462.197235457955,122.216666666667,5.80276454204509,255.195471240074,14139,2024-02-05,8874.45705553261,8271.80621292595,9410.37995445458,4010.14294446739,3474.22004554542,4612.79378707405,348.01202245123,206.768000588338,476.66213459825,135.18797754877,6.53786540174995,276.431999411662,13367.8,76143.8,7
"Europe",72492,7306.47707400369,6771.43804452717,7789.23803399472,3551.52292599631,3068.76196600528,4086.56195547283,428.563966318234,273.805338188586,572.603537361281,151.436033681765,7.39646263871837,306.194661811414,11438,2024-02-12,7249.51717880012,6696.640862,7743.3631124986,3385.08282119988,2891.23688750141,3937.95913799999,389.361228590909,238.290413135898,524.577412910694,142.038771409091,6.82258708930627,293.109586864102,11166,72018.4,7
"Europe",67925,5464.51311282525,4977.41543719336,5875.80875785465,2445.48688717474,2034.19124214535,2932.58456280664,443.069885433715,263.837767400657,603.861052186848,168.930114566285,8.13894781315217,348.162232599343,8522,2024-02-19,5588.55027794505,5142.25739257927,5986.37631831794,2651.04972205495,2253.22368168206,3097.34260742073,416.037060308211,257.530047272393,558.025792778625,149.162939691788,7.17420722137428,307.669952727606,8804.8,67768.6,7
"Europe",61854,3463.22725075665,3132.53326648082,3763.34652777584,1853.77274924335,1553.65347222416,2184.46673351918,458.49925198691,285.486883340135,607.597329914722,156.50074801309,7.40267008527805,329.513116659865,5932,2024-02-26,4008.34104586963,3639.31924347032,4335.03928766,2062.85895413037,1736.16071234,2431.88075652968,452.270438921935,274.217417532168,613.419494630847,169.329561078065,8.18050536915267,347.382582467831,6692.8,63327.6,7
"Europe",58412,2142.1551338546,1901.64916034544,2357.49345565907,1299.8448661454,1084.50654434093,1540.35083965456,404.268864468864,251.715718672662,543.869808972322,146.731135531136,7.13019102767798,299.284281327338,3993,2024-03-04,2786.2932480727,2475.10677125362,3059.73753605001,1495.5067519273,1222.06246394999,1806.69322874637,466.448836134479,261.19299671591,646.017813174631,188.551163865521,8.98218682536866,393.807003284089,4936.8,58700.8,7
"Europe",55955,1665.33265790797,1413.56030880481,1889.30966301573,1163.66734209203,939.690336984268,1415.43969119519,526.950226401951,296.241380058801,739.165744719063,223.049773598049,10.834255280937,453.758619941199,3579,2024-03-11,1787.34595517798,1537.10302310018,2010.40436689635,1069.25404482202,846.195633103653,1319.49697689981,446.726525714402,226.887703238507,639.375367736502,202.273474285598,9.62463226349779,422.112296761493,3505.6,51592.2,7
"Europe",49358,1196.23808501903,950.375683443685,1412.72927594478,714.76191498097,498.270724055225,960.624316556314,499.455952380952,208.683234107297,735.595130080202,247.544047619048,11.4048699197983,538.316765892703,2658,2024-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Europe",32382,469.776648351648,287.396696426162,629.14291208632,314.223351648352,154.85708791368,496.603303573838,344.458333333333,92.3113000136412,570.648824996202,237.541666666667,11.3511750037979,489.688699986359,1366,2024-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Japan/Korea",397,158,158,158,0,0,0,4,0.2,7.8,4,0.2,7.8,166,2010-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5194
"Japan/Korea",313,121,121,121,0,0,0,5,0.25,9.75,5,0.25,9.75,131,2010-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"Japan/Korea",277,80,80,80,0,0,0,3,0.15,5.85,3,0.15,5.85,86,2010-01-18,103,103,103,0,0,0,3.6,0.18,7.02,3.6,0.18,7.02,110.2,310.8,7
"Japan/Korea",306,89,89,89,0,0,0,3.5,0.175,6.825,3.5,0.175,6.825,96,2010-01-25,84.4,84.4,84.4,0,0,0,3.8,0.19,7.41,3.8,0.19,7.41,92,280.6,7
"Japan/Korea",261,67,67,67,0,0,0,2.5,0.125,4.875,2.5,0.125,4.875,72,2010-02-01,66.2,66.2,66.2,0,0,0,3.3,0.165,6.435,3.3,0.165,6.435,72.8,254.6,7
"Japan/Korea",246,65,65,65,0,0,0,5,0.25,9.75,5,0.25,9.75,75,2010-02-08,56.4,56.4,56.4,0.4,0.4,0.4,3.6,0.18,7.02,3.6,0.18,7.02,64,234.6,7
"Japan/Korea",183,30,30,30,0,0,0,2.5,0.125,4.875,2.5,0.125,4.875,35,2010-02-15,42,42,42,0.4,0.4,0.4,4.6,0.23,8.97,4.6,0.23,8.97,51.6,206.8,7
"Japan/Korea",177,31,31,31,2,2,2,4.5,0.225,8.775,4.5,0.225,8.775,42,2010-02-22,32,32,32,0.4,0.4,0.4,5.3,0.265,10.335,5.3,0.265,10.335,43,184.8,7
"Japan/Korea",167,17,17,17,0,0,0,8.5,0.425,16.575,8.5,0.425,16.575,34,2010-03-01,23.4,23.4,23.4,0.4,0.4,0.4,8.7,0.435,16.965,8.7,0.435,16.965,41.2,179.2,7
"Japan/Korea",151,17,17,17,0,0,0,6,0.3,11.7,6,0.3,11.7,29,2010-03-08,19,19,19,0.4,0.4,0.4,18.6,0.93,36.27,18.6,0.93,36.27,56.6,201.8,7
