"test","h1n1_num","h1n1_num_LL","h1n1_num_UL","h3n2_num","h3n2_num_LL","h3n2_num_UL","date","h1n1_num_roll","h1n1_num_roll_LL","h1n1_num_roll_UL","h3n2_num_roll","h3n2_num_roll_LL","h3n2_num_roll_UL","test_roll","diff"
10972,320.376404210333,300.608653392098,342.702367063587,471.623595789667,449.297632936413,491.391346607902,2011-07-25,354.491144711567,338.625792020204,371.551380930044,428.508855288433,411.448619069956,444.374207979796,11836.4,7
11768,356.648629489966,343.221826938568,370.159972715336,383.351370510034,369.840027284664,396.778173061432,2011-08-01,353.549014382627,337.837301891045,370.537790706732,425.150985617374,408.161597923193,440.900557078109,11414.6,7
11265,382.009185555197,367.773346795505,398.273495514174,392.990814444803,376.726504485826,407.226653204495,2011-08-08,332.291719839451,317.418090435392,349.050207622944,415.05828016055,398.246252847199,430.080069810586,11112.2,7
10562,336.985390802241,325.342558197002,350.688981009742,414.514609197759,400.807962139883,426.346736648771,2011-08-15,326.739443400388,312.558723533667,342.53813947533,395.210556599612,379.358320994812,409.539436712311,11042.2,7
10994,265.438989139515,250.144066853786,283.426221811882,412.811010860485,394.559137389209,428.657439530329,2011-08-22,299.187345247513,283.997055096429,316.337742729688,406.162654752487,388.958717740455,421.501105149549,10996.8,7
10622,292.615022015022,276.311818883471,310.14202632552,372.384977984978,354.85797367448,388.688181116529,2011-08-29,277.700385163857,260.920747648273,296.226997176565,411.649614836143,393.069463293578,428.577412597705,11350.4,7
11541,218.88813872559,200.413484752381,239.157988987125,438.11186127441,417.842011012875,456.586515247619,2011-09-05,279.674654342434,260.12671933893,301.337550451453,414.975345657566,393.259521388765,434.633581937893,11851.8,7
13033,274.574385136916,252.391809554722,297.719767748559,420.425614863084,397.280232251441,442.608190445278,2011-09-12,356.314148372844,335.483078283947,380.218188117731,426.685851627156,402.781811882269,447.516921716053,12647,7
13069,346.856736695128,321.372416650288,376.241747384183,431.143263304872,401.758252615817,456.627583349712,2011-09-19,349.284429003949,328.248570840625,373.529171797006,433.315570996051,409.070828202993,454.351429159376,13737,7
14970,648.636459291566,626.925861578874,677.829410143268,471.363540708434,442.170589856732,493.074138421126,2011-09-26,383.890069149254,362.682301051567,408.281054010342,413.309930850747,388.918945989658,434.517698948433,14902.6,7
16072,257.466425170547,240.139281666856,276.696944721898,405.533574829453,386.303055278102,422.860718333143,2011-10-03,428.241453698271,407.061432541709,452.332219043203,395.758546301729,371.667780956797,416.938567458291,15945.6,7
17369,391.916339452111,372.582135807095,412.917400053801,338.083660547889,317.082599946199,357.417864192905,2011-10-10,447.454500200698,422.30993895336,472.417585604767,376.945499799302,351.982414395233,402.09006104664,17127.6,7
18248,496.331307882004,474.28746700543,517.975592912865,332.668692117996,311.024407087135,354.71253299457,2011-10-17,392.678890135003,364.288485669807,417.498318061084,344.681109864997,319.860978955975,373.099259025537,17790.2,7
18979,442.921969207263,397.614948708544,476.668580192004,337.078030792737,303.331419807996,382.385051291456,2011-10-24,394.797040390751,362.496810480157,421.217284105735,319.76295960925,293.342012911325,352.090934215187,18414.4,7
18283,374.758408963092,336.818595161108,403.233072424854,310.041591036908,281.563412660446,348.120128315613,2011-10-31,352.780110884167,317.40213807203,380.133710865203,321.379889115833,294.025586151856,356.785606623315,19081.4,7
19193,268.057176449282,231.180905718608,295.291774945151,280.942823550718,253.708225054849,317.819094281392,2011-11-07,282.111538383396,245.678634619633,312.463021220027,345.048461616604,314.696275797033,381.509110075712,19482.6,7
20704,181.831691919192,147.108773766458,207.499533851143,346.168308080808,320.500466148857,380.891226233542,2011-11-14,218.761267281949,185.132239122278,247.290914661481,366.198732718052,337.668382355579,399.855505573066,20026.6,7
20254,142.988445378151,115.669949743443,179.622144686981,451.011554621849,414.377855313019,478.330050256557,2011-11-21,168.779357746059,137.708634199098,197.920696388581,418.420642253941,389.279303611419,449.491365800902,20647.6,7
21699,126.170613700025,94.8829712217741,150.808047399278,442.829386299975,418.191952600722,474.117028778226,2011-11-28,145.263609370524,115.844335740326,175.53897752906,515.536390629477,485.26102247094,544.955664259674,21288.6,7
21388,124.848861283644,99.7005705452067,156.381981060353,571.151138716356,539.618018939647,596.299429454793,2011-12-05,144.896456600809,118.972495855302,175.655837061917,621.103543399191,590.344162938083,647.027504144698,21209.4,7
22398,150.478434571605,121.859413424748,183.383180647543,766.521565428395,733.616819352457,795.140586575252,2011-12-12,157.188448714789,131.890165120132,187.632766785189,765.211551285211,734.767233214811,790.509834879868,21173.8,7
20308,179.995928070618,162.749574341337,208.083831515431,874.004071929382,845.916168484569,891.250425658663,2011-12-19,215.703760605342,191.312868959549,248.657127514674,942.496239394658,909.542872485325,966.887131040451,21734,7
20076,204.448405948053,180.258296067595,239.506793303339,1171.55159405195,1136.49320669666,1195.74170393241,2011-12-26,328.239802806114,304.34579163701,360.998094861811,1148.42686386055,1115.74527232369,1172.32159098289,23164.6,7
24500,418.747173152789,391.99649041886,455.929851046706,1329.25282684721,1292.07014895329,1356.00350958114,2012-01-02,473.702883544586,449.301677331564,508.526337235531,1419.51044978875,1384.7799412413,1443.9094476034,24841,7
28541,687.529072287503,664.865183932509,718.086817796037,1600.80426104583,1570.63001813145,1623.47172916697,2012-01-09,674.656053218739,645.912927673553,713.895409434366,1722.67728011459,1683.58635843315,1751.41679129553,26918.2,7
30780,877.793838263967,846.63884189752,921.024392516144,2121.93949506937,2078.79016394051,2153.07986967781,2012-01-16,865.771040086828,832.623471833147,910.207689402834,2121.76229324651,2077.47407846468,2154.90624713593,29490.2,7
30694,1184.76177644138,1145.80582605128,1234.92919250961,2389.83822355862,2339.94825444384,2428.78714411932,2012-01-23,1006.7838911001,969.425989874795,1057.16553905962,2630.54944223324,2580.31622880789,2667.90372909429,31466.6,7
32936,1160.0233402885,1113.81101686556,1221.06819314568,3166.9766597115,3105.93180685432,3213.18898313444,2012-01-30,1073.42877698997,1023.32173908812,1140.90699670047,3304.23788967669,3236.83140398155,3354.34059726106,33164.6,7
34382,1123.81142821913,1076.0090806271,1190.71909933065,3873.18857178087,3806.28090066935,3920.9909193729,2012-02-06,1112.06617325503,1046.67011664636,1199.90334691114,4098.05382674497,4010.27214247955,4163.44847738776,34631.4,7
37031,1020.75350173688,934.34392999916,1136.79410600026,4969.24649826312,4853.20589399975,5055.65607000084,2012-02-13,1132.1933481499,1049.68231140209,1244.46312954365,4978.2066518501,4865.93687045635,5060.71768859791,36700.2,7
38114,1070.98081958925,963.380729688677,1216.00614356953,6091.01918041075,5945.99385643047,6198.61927031132,2012-02-20,1163.95591911059,1067.91036352642,1294.31129724251,5546.64408088941,5416.2887027575,5642.68963647358,37830,7
41038,1285.39765091576,1160.86679982993,1457.72810567216,6790.60234908424,6618.27189432784,6915.13320017007,2012-02-27,1233.25859467186,1124.57784105614,1383.2591191662,6016.74140532814,5866.7408808338,6125.42215894386,38944.6,7
38585,1318.83619509194,1204.95127748723,1470.30903163994,6009.16380490806,5857.69096836006,6123.04872251277,2012-03-05,1296.84674095213,1181.31515812497,1457.12589977246,6050.75325904787,5890.47410022754,6166.28484187503,39205.6,7
39955,1470.32480602547,1359.3464682757,1635.45820894912,6223.67519397453,6058.54179105088,6334.6535317243,2012-03-12,1294.27652850136,1180.04496414908,1455.76318333221,5704.72347149864,5543.23681666779,5818.95503585092,38819.4,7
38336,1338.69423313821,1218.0305153433,1506.12800903155,5139.30576686179,4971.87199096845,5259.9694846567,2012-03-19,1198.51272804385,1091.27011503618,1350.33629348593,4942.28727195615,4790.46370651407,5049.52988496382,36537.4,7
36183,1058.1297573354,957.029759809248,1209.19256136828,4360.8702426646,4209.80743863172,4461.97024019075,2012-03-26,1065.13815254972,965.376360336644,1206.85740365274,4281.66184745028,4139.94259634726,4381.42363966336,34797.8,7
29628,806.578648628242,716.992554265407,930.593656440759,2978.42135137176,2854.40634355924,3068.00744573459,2012-04-02,870.028568838631,774.642192906684,1000.48755926946,3503.57143116137,3373.11244073054,3598.95780709332,32354.6,7
29887,651.963317621276,575.482503989566,752.914582473982,2706.03668237872,2605.08541752602,2782.51749601043,2012-04-09,673.336888657958,588.362470956275,787.37670236595,2814.86311134204,2700.82329763405,2899.83752904373,29562.6,7
27739,494.77688747003,405.675631125897,603.60898703272,2333.22311252997,2224.39101296728,2422.3243688741,2012-04-16,516.54768975312,443.71957611398,611.357379423412,2222.05231024688,2127.24262057659,2294.88042388602,26680,7
24376,355.235832234841,286.631905591256,440.573724514012,1695.76416776516,1610.42627548599,1764.36809440874,2012-04-23,398.041420073003,336.202155405948,477.248969390716,1864.958579927,1785.75103060928,1926.79784459405,25019.2,7
21770,274.183762811213,233.815285597772,329.095946655586,1396.81623718879,1341.90405334441,1437.18471440223,2012-04-30,311.402220583837,259.827934322078,377.193236531917,1587.19777941616,1521.40676346808,1638.77206567792,23280.8,7
21324,214.047300227655,179.405450725249,260.05160627728,1192.95269977235,1146.94839372272,1227.59454927475,2012-05-07,256.605027906712,217.940076111725,306.145695545723,1392.39497209329,1342.85430445428,1431.05992388828,21796.2,7
21195,218.767320175448,193.611398570214,252.635918179984,1317.23267982455,1283.36408182002,1342.38860142979,2012-05-14,256.285493667746,226.378331535311,293.94647422719,1282.51450633225,1244.85352577281,1312.42166846469,21022,7
20316,220.790924084405,196.236340074131,248.37128210175,1359.2090759156,1331.62871789825,1383.76365992587,2012-05-21,275.783906817928,250.356678686112,306.49013443748,1204.21609318207,1173.50986556252,1229.64332131389,20886.6,7
20505,353.638161040012,328.823182709188,379.577617921348,1146.36183895999,1120.42238207865,1171.17681729081,2012-05-28,309.49881033076,287.029752740315,335.522286028549,1151.10118966924,1125.07771397145,1173.57024725969,20756.6,7
21093,371.675828562119,353.707021351774,391.814247707038,1005.32417143788,985.185752292962,1023.29297864823,2012-06-04,329.582428524899,308.305581627258,353.159364380961,1060.2175714751,1036.64063561904,1081.49441837274,20440,7
20674,382.621817791818,362.770820996264,405.212364232624,927.378182208182,904.787635767376,947.229179003736,2012-06-11,350.630321652308,331.29760312374,371.633017962053,980.569678347692,959.566982037947,999.90239687626,20495.8,7
19612,319.185411146142,299.990543004932,340.821309942046,862.814588853858,841.178690057954,882.009456995068,2012-06-18,343.110500860544,326.58062023598,361.139595889716,980.089499139457,962.060404110284,996.61937976402,20174.8,7
20595,326.03038972145,311.196447556541,340.739550007211,960.96961027855,946.260449992789,975.803552443459,2012-06-25,319.540606236972,304.660644671073,335.715378209647,1046.38962632117,1030.19434637219,1061.29592034062,19839.8,7
18900,316.039057081188,305.238268270387,327.11050755966,1143.96094291881,1132.88949244034,1154.76173172961,2012-07-02,288.243791931614,275.282176175316,302.428353362143,1098.04028678037,1083.8039644549,1111.05789698446,19500.4,7
19418,253.826355444261,244.10714352724,264.693159306695,1336.82480734644,1325.8554636025,1346.67568153122,2012-07-09,275.078781314543,262.869921837305,288.14595075825,1195.3149748168,1182.11373863863,1207.67868151307,19151,7
18977,226.137746265029,215.878478517475,238.777239995106,1185.6314845042,1172.83572618091,1196.03906222296,2012-07-16,252.232621405985,240.863048419074,264.851624496845,1255.69487705664,1242.8999865791,1267.27158274265,18454.4,7
17865,253.360358060785,237.929271314878,269.409296922581,1349.18802903599,1332.72756097662,1365.1133796381,2012-07-23,228.0887724332,216.475473724039,241.055329993762,1232.8103572351,1219.59084613139,1244.72975083992,18047.2,7
17112,211.799590178659,201.162080465388,224.267918700183,1262.86912147778,1250.19168969514,1273.76805859137,2012-07-30,226.859529663477,215.095515285337,239.651398165782,1172.78378605134,1159.68540550914,1184.92272981319,17513.6,7
16864,195.319812217265,183.300394795213,208.129035044245,1029.5383438111,1016.34379020179,1042.05257221594,2012-08-06,237.971046255464,225.224090808221,251.554478268938,1106.33508997217,1092.39301967353,1119.5410449728,17103.8,7
16750,247.680141595646,237.207351333729,257.673500166798,1036.69195142761,1026.32826049126,1047.64057639759,2012-08-13,244.333238245892,232.726159088395,257.008640916727,982.098514680036,968.998737926662,994.252616500551,16875.4,7
16928,281.695329224964,266.521356131893,298.292640510882,853.38800410837,836.37379700285,869.130638020974,2012-08-20,270.114966150377,253.921600733253,285.750122148806,836.921139682357,820.806346786725,853.726932270535,16907.8,7
16723,285.171318012923,275.439612715749,296.680110161525,728.005152575313,715.756152242277,738.671237276879,2012-08-27,285.509302316527,268.041190478379,302.887631218013,735.198650571403,717.327240256582,753.286518856696,17130.6,7
