"year_month","region","climate","epoch","antigen_drift","inter_air_traffic","persistence"
"2020-10","North China","most-other","pan1",0.239676965175869,0.729149018956746,0
"2020-11","North China","most-other","pan1",0.237761556034382,0.626468148283683,0
"2020-12","North China","most-other","pan1",0.235846146892895,0.642788373933419,0
"2021-01","North China","most-other","pan1",0.233930737751408,0.496809246985865,0
"2021-02","North China","most-other","pan1",0.232015328609921,0.393606427644201,0
"2021-03","North China","most-other","pan1",0.230099919468434,0.794747674455378,0
"2021-04","North China","most-other","pan2",0.228184510326947,0.853352566042907,0
"2021-05","North China","most-other","pan2",0.226269101185461,0.914272884232529,0
"2021-06","North China","most-other","pan2",0.224353692043974,0.803263753354477,0
"2021-07","North China","most-other","pan2",0.222438282902487,0.973659451718125,0
"2021-08","North China","most-other","pan2",0.220522873761,0.426456533737527,0
"2021-09","North China","most-other","pan2",0.218607464619513,0.632380695833672,0
"2021-10","North China","most-other","pan2",0.216692055478026,0.625063202331794,0
"2021-11","North China","most-other","pan2",0.214776646336539,0.343693150843777,0
"2021-12","North China","most-other","pan2",0.212861237195052,0.472749441673519,0.00494446346043971
"2022-01","North China","most-other","pan2",0.206564538725102,0.450845433544466,0.0284210994155546
"2022-02","North China","most-other","pan2",0.195886550926688,0.482010630415729,0.0563196671032625
"2022-03","North China","most-other","pan2",0.209957853285878,0.296833539646827,0.0919803679830078
"2022-04","North China","most-other","pan2",0.253159735131135,0.178278859794168,0.12045988068425
"2022-05","North China","most-other","pan2",0.325492196462457,0.238711771766074,0.160034595946743
"2022-06","North China","most-other","pan2",0.371136447248462,0.389169228643541,0.204365821820794
"2022-07","North China","most-other","pan2",0.392626262414385,0.59834640487442,0.24848850750377
"2022-08","North China","most-other","pan2",0.385702370898115,0.546179256684105,0.286638646900631
"2022-09","North China","most-other","pan2",0.383089266054689,0.346686061264566,0.317628302413913
"2022-10","North China","most-other","pan2",0.381633821991809,0.25037596681214,0.339891264230726
"2022-11","North China","most-other","pan2",0.386159737926008,0.217846390191525,0.337224383604448
"2022-12","North China","most-other","pan2",0.359056732349484,0.360527701351429,0.340040785201788
"2023-01","North China","most-other","pan2",0.316652132945881,0.640456052590364,0.364716265249395
"2023-02","North China","most-other","pan2",0.266787805273355,0.66325515256657,0.425563523564593
"2023-03","North China","most-other","pan2",0.239968052125242,0.69426627316509,0.480489485897844
"2023-04","North China","most-other","pan2",0.22822351767559,0.774792914712712,0.36478889847568
"2023-05","North China","most-other","post",0.249504823501114,0.817528467873826,0.229901664047338
"2023-06","North China","most-other","post",0.262912582994145,0.845906314849451,0.0904084719255566
"2023-07","North China","most-other","post",0.260708175264053,0.994405299470813,0.0989229312428585
"2023-08","North China","most-other","post",0.216534685021546,1,0.109435807089443
"2023-09","North China","most-other","post",0.172361194779041,0.848165362900918,0.127719996775216
"2023-10","North China","most-other","post",0.144028386534821,0.850446152931007,0.161750249966449
"2023-11","North China","most-other","post",0.127564185299453,0.731999194699701,0.204682186993609
"2023-12","North China","most-other","post",0.122968591072937,0.767747243004165,0.232549069400241
"2017-01","Oceania","most-tropical","pre",0.172406311757566,0.932044120467569,0.187192254042074
"2017-02","Oceania","most-tropical","pre",0.189552871156651,0.857532984438544,0.20752004642421
"2017-03","Oceania","most-tropical","pre",0.200678723251458,0.963297573965854,0.226659851374994
"2017-04","Oceania","most-tropical","pre",0.196439720318623,0.919193991783454,0.230183233315759
"2017-05","Oceania","most-tropical","pre",0.188297473227474,0.905621517898452,0.22671398538681
"2017-06","Oceania","most-tropical","pre",0.209432961925763,0.889895050916428,0.206364372220359
"2017-07","Oceania","most-tropical","pre",0.240551002665739,0.978982118608313,0.192525339160293
"2017-08","Oceania","most-tropical","pre",0.255856889256295,0.956237036826563,0.185602499015531
"2017-09","Oceania","most-tropical","pre",0.233752277107408,0.93808594475544,0.202091727856923
"2017-10","Oceania","most-tropical","pre",0.21399459834184,0.974238838788458,0.214663082346266
"2017-11","Oceania","most-tropical","pre",0.199281719635174,0.944187624828133,0.216140718348054
"2017-12","Oceania","most-tropical","pre",0.198792552983497,0.982425456548834,0.203123479922951
"2018-01","Oceania","most-tropical","pre",0.199659595539918,0.981202255841092,0.20060009981872
"2018-02","Oceania","most-tropical","pre",0.204101519030854,0.882698964879211,0.198357111877997
"2018-03","Oceania","most-tropical","pre",0.198891646843401,0.968828877318582,0.210085814478739
"2018-04","Oceania","most-tropical","pre",0.190065919940911,0.939229725919896,0.221058728463213
"2018-05","Oceania","most-tropical","pre",0.184018682022136,0.915401533915114,0.230223369057911
"2018-06","Oceania","most-tropical","pre",0.184335637147848,0.891220961356104,0.232071805182726
"2018-07","Oceania","most-tropical","pre",0.185268190498109,0.993580641754161,0.237160288693756
"2018-08","Oceania","most-tropical","pre",0.188188525310834,0.962701578038377,0.267084342456594
"2018-09","Oceania","most-tropical","pre",0.187890563858474,0.938882469207168,0.292566914223802
"2018-10","Oceania","most-tropical","pre",0.186493014070154,0.994142401104328,0.264137801370362
"2018-11","Oceania","most-tropical","pre",0.176076823303719,0.953454441537958,0.206542373744027
"2018-12","Oceania","most-tropical","pre",0.173839767547383,0.990645845082748,0.127761272257103
"2019-01","Oceania","most-tropical","pre",0.177076349126971,0.98959161469364,0.104194553861602
"2019-02","Oceania","most-tropical","pre",0.1839754915198,0.901334609325135,0.110224480525376
"2019-03","Oceania","most-tropical","pre",0.195492003969342,0.973306416085974,0.15887985486256
"2019-04","Oceania","most-tropical","pre",0.205290676277927,0.948377296863848,0.21812420282072
"2019-05","Oceania","most-tropical","pre",0.219561234885999,0.933135848060399,0.282390842734433
"2019-06","Oceania","most-tropical","pre",0.229489623342884,0.895077467243223,0.339901345679646
"2019-07","Oceania","most-tropical","pre",0.249127476081732,1,0.38831531287852
"2019-08","Oceania","most-tropical","pre",0.253802227076259,0.957867233580912,0.423648032636031
"2019-09","Oceania","most-tropical","pre",0.257906618762542,0.946905007588526,0.427976849754711
"2019-10","Oceania","most-tropical","pre",0.242060850129578,0.979584402886726,0.37244599711655
"2019-11","Oceania","most-tropical","pre",0.242994054220866,0.949125261272248,0.29192687579818
"2019-12","Oceania","most-tropical","pre",0.249060122290437,0.992606529613999,0.227727760952606
"2020-01","Oceania","most-tropical","pre",0.277074481745674,0.981039806775279,0.23725585349758
"2020-02","Oceania","most-tropical","pre",0.292757636492419,0.828328019482709,0.272617952629301
"2020-03","Oceania","most-tropical","pre",0.277333435685747,0.673399006230941,0.251338316235534
"2020-04","Oceania","most-tropical","pan1",0.258186433214206,0.0533419848620761,0.227450136355787
