var,epoch,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,pan2,South America,0.393124242286412,0.07662115152580781,0.2673088117977479,0.5193894093855256,0.2484540321717564,0.5502766792798611
air-traffic,pan1,South America,0.789278633775921,0.09490060412192028,0.6349304888348373,0.9465404793425364,0.5973620922637991,0.9699076232167032
air-traffic,pre,South America,0.40663697547821936,0.06094925759977983,0.3076958574710416,0.50672481212011,0.28941235422974965,0.5277490715492601
air-traffic,pos,South China,0.6776775143362379,0.13630896448339067,0.4415292751705441,0.8874410167299847,0.41570363339546756,0.9524222656767807
air-traffic,pan2,South China,0.7105053742486321,0.0844836333711626,0.5650440781942446,0.8412994729781527,0.5429370494889748,0.8714226688919483
air-traffic,pan1,South China,0.5507360058585489,0.10820462609102918,0.3732998639408767,0.7283168706573884,0.3442293902414801,0.7639825848150745
air-traffic,pre,South China,0.41701680112955286,0.05926276347975718,0.32535678100575016,0.5182108220744569,0.30061216289152515,0.5328731141798065
air-traffic,pos,South-eastern Asia,0.5191172140863632,0.1379229594370732,0.29424999896142295,0.7480760982707377,0.24846345621692825,0.7856929145156937
air-traffic,pan2,South-eastern Asia,0.38827182854207126,0.06824069471615304,0.27906390497048933,0.5026546011920048,0.2533565465427212,0.5217756507813877
air-traffic,pan1,South-eastern Asia,0.41558072867354223,0.07198442998718707,0.2992258004477118,0.5360064806829105,0.2712802566716097,0.5545781716075912
air-traffic,pre,South-eastern Asia,0.44667103617125337,0.05751123325095848,0.352782330154856,0.5404262731573262,0.33204025305951473,0.5553371948652285
air-traffic,pos,Southern Asia,0.6130081389881742,0.11916780810180236,0.414690253843797,0.8064072337278219,0.37888171897232015,0.8486389596064692
air-traffic,pan2,Southern Asia,0.47186745155436227,0.07483823716773948,0.34852256561826594,0.5946626507527427,0.3231038921471172,0.6170530433780251
air-traffic,pan1,Southern Asia,0.7903798397757551,0.09639195677567429,0.6359189016554231,0.9498775383454338,0.607190340465343,0.9818699829375565
air-traffic,pre,Southern Asia,0.43317591843410336,0.060724743908899044,0.33632678695031376,0.5361943309281603,0.3094636535946788,0.5468322671711145
air-traffic,pos,Russia,0.43746818424868433,0.13369590343943333,0.21959268998578424,0.6596977840491445,0.1778659589474504,0.6979473665039413
air-traffic,pan2,Russia,0.32625971837880363,0.07747948566869,0.20179964765086397,0.45580962903869277,0.17652387275023687,0.4795120404518739
air-traffic,pan1,Russia,0.4412627888159273,0.09305685356884141,0.28866174838122455,0.5924061463077579,0.2571161645154408,0.6184803438629612
air-traffic,pre,Russia,0.39208339657485386,0.06512538175573883,0.2857787107430649,0.5005785881800106,0.26351258150810375,0.5190856046796929
air-traffic,pos,Europe,0.5000453106745727,0.12464186339456147,0.29920330468946393,0.7060719643028139,0.24796736470696773,0.7388162949070776
air-traffic,pan2,Europe,0.3773317535133251,0.07135125348524629,0.2586274424209009,0.49363748447723393,0.24212131433188652,0.5188965037719512
