"virus","tree_id","season","tmrca"
"by",11,"S_Hemisphere_2013.5",2005.11097111277
"by",11,"S_Hemisphere_2014.5",2005.11097111277
"by",11,"S_Hemisphere_2011.5",2005.11097111277
"by",11,"S_Hemisphere_2019.5",2016.55500412328
"by",11,"S_Hemisphere_2015.5",2005.11097111277
"by",11,"N_Hemisphere_2015",2005.11097111277
"by",11,"N_Hemisphere_2020",2016.55500412328
"by",11,"S_Hemisphere_2017.5",2015.60980306
"by",11,"N_Hemisphere_2018",2014.15769211865
"by",11,"N_Hemisphere_2019",2016.00882035563
"by",11,"N_Hemisphere_2016",2005.11097111277
"by",11,"S_Hemisphere_2016.5",2005.11097111277
"by",11,"N_Hemisphere_2017",2012.02745190488
"by",11,"S_Hemisphere_2018.5",2016.55500412328
"by",11,"S_Hemisphere_2020.5",2020.18852459016
"by",12,"N_Hemisphere_2012",2005.27195248578
"by",12,"N_Hemisphere_2013",2005.27195248578
"by",12,"N_Hemisphere_2011",2005.27195248578
"by",12,"N_Hemisphere_2014",2005.27195248578
"by",12,"S_Hemisphere_2012.5",2005.27195248578
"by",12,"S_Hemisphere_2013.5",2005.27195248578
"by",12,"S_Hemisphere_2014.5",2005.27195248578
"by",12,"S_Hemisphere_2011.5",2005.27195248578
"by",12,"S_Hemisphere_2019.5",2016.74939586107
"by",12,"S_Hemisphere_2015.5",2005.27195248578
"by",12,"N_Hemisphere_2015",2005.27195248578
"by",12,"N_Hemisphere_2020",2016.74939586107
"by",12,"S_Hemisphere_2017.5",2015.6876930012
"by",12,"N_Hemisphere_2018",2014.1582846308
"by",12,"N_Hemisphere_2019",2016.05069444001
"by",12,"N_Hemisphere_2016",2005.27195248578
"by",12,"S_Hemisphere_2016.5",2005.27195248578
"by",12,"N_Hemisphere_2017",2012.00228035247
"by",12,"S_Hemisphere_2018.5",2016.63612566692
"by",12,"S_Hemisphere_2020.5",2020.18852459016
"by",13,"N_Hemisphere_2012",2005.5679175763
"by",13,"N_Hemisphere_2013",2005.5679175763
"by",13,"N_Hemisphere_2011",2005.5679175763
"by",13,"N_Hemisphere_2014",2005.5679175763
"by",13,"S_Hemisphere_2012.5",2005.5679175763
"by",13,"S_Hemisphere_2013.5",2005.5679175763
"by",13,"S_Hemisphere_2014.5",2005.5679175763
"by",13,"S_Hemisphere_2011.5",2005.5679175763
"by",13,"S_Hemisphere_2019.5",2016.51741964996
"by",13,"S_Hemisphere_2015.5",2005.5679175763
"by",13,"N_Hemisphere_2015",2005.5679175763
"by",13,"N_Hemisphere_2020",2016.51741964996
"by",13,"S_Hemisphere_2017.5",2015.62385686809
"by",13,"N_Hemisphere_2018",2014.06199495763
"by",13,"N_Hemisphere_2019",2015.90587736787
"by",13,"N_Hemisphere_2016",2005.5679175763
"by",13,"S_Hemisphere_2016.5",2005.5679175763
"by",13,"N_Hemisphere_2017",2011.82509294174
"by",13,"S_Hemisphere_2018.5",2016.51741964996
"by",13,"S_Hemisphere_2020.5",2020.18852459016
"by",14,"N_Hemisphere_2012",2005.50360101218
"by",14,"N_Hemisphere_2013",2005.50360101218
"by",14,"N_Hemisphere_2011",2005.50360101218
"by",14,"N_Hemisphere_2014",2005.50360101218
"by",14,"S_Hemisphere_2012.5",2005.50360101218
"by",14,"S_Hemisphere_2013.5",2005.50360101218
"by",14,"S_Hemisphere_2014.5",2005.50360101218
"by",14,"S_Hemisphere_2011.5",2005.50360101218
"by",14,"S_Hemisphere_2019.5",2016.55831714728
"by",14,"S_Hemisphere_2015.5",2005.50360101218
"by",14,"N_Hemisphere_2015",2005.50360101218
"by",14,"N_Hemisphere_2020",2016.55831714728
"by",14,"S_Hemisphere_2017.5",2015.47356980395
"by",14,"N_Hemisphere_2018",2014.13092004614
"by",14,"N_Hemisphere_2019",2015.76692673035
"by",14,"N_Hemisphere_2016",2005.50360101218
"by",14,"S_Hemisphere_2016.5",2005.50360101218
"by",14,"N_Hemisphere_2017",2011.88152218832
"by",14,"S_Hemisphere_2018.5",2016.55831714728
"by",14,"S_Hemisphere_2020.5",2020.18852459016
"by",15,"N_Hemisphere_2012",2005.19770602352
"by",15,"N_Hemisphere_2013",2005.19770602352
"by",15,"N_Hemisphere_2011",2005.19770602352
"by",15,"N_Hemisphere_2014",2005.19770602352
"by",15,"S_Hemisphere_2012.5",2005.19770602352
"by",15,"S_Hemisphere_2013.5",2005.19770602352
"by",15,"S_Hemisphere_2014.5",2005.19770602352
"by",15,"S_Hemisphere_2011.5",2005.19770602352
"by",15,"S_Hemisphere_2019.5",2016.48138219017
"by",15,"S_Hemisphere_2015.5",2005.19770602352
"by",15,"N_Hemisphere_2015",2005.19770602352
"by",15,"N_Hemisphere_2020",2016.48138219017
"by",15,"S_Hemisphere_2017.5",2015.41396133706
"by",15,"N_Hemisphere_2018",2014.10145651988
"by",15,"N_Hemisphere_2019",2015.65844805177
"by",15,"N_Hemisphere_2016",2005.19770602352
"by",15,"S_Hemisphere_2016.5",2005.19770602352
"by",15,"N_Hemisphere_2017",2012.01929934968
"by",15,"S_Hemisphere_2018.5",2016.48138219017
"by",15,"S_Hemisphere_2020.5",2020.18852459016
"by",16,"N_Hemisphere_2012",2006.90089103035
"by",16,"N_Hemisphere_2013",2006.90089103035
"by",16,"N_Hemisphere_2011",2006.90089103035
"by",16,"N_Hemisphere_2014",2006.90089103035
"by",16,"S_Hemisphere_2012.5",2006.90089103035
"by",16,"S_Hemisphere_2013.5",2006.90089103035
"by",16,"S_Hemisphere_2014.5",2006.90089103035
"by",16,"S_Hemisphere_2011.5",2006.90089103035
"by",16,"S_Hemisphere_2019.5",2016.57133463605
"by",16,"S_Hemisphere_2015.5",2006.90089103035
"by",16,"N_Hemisphere_2015",2006.90089103035
"by",16,"N_Hemisphere_2020",2016.57133463605
"by",16,"S_Hemisphere_2017.5",2015.73240663995
"by",16,"N_Hemisphere_2018",2014.33375953826
"by",16,"N_Hemisphere_2019",2015.95540347593
"by",16,"N_Hemisphere_2016",2006.90089103035
"by",16,"S_Hemisphere_2016.5",2006.90089103035
"by",16,"N_Hemisphere_2017",2012.38471448455
"by",16,"S_Hemisphere_2018.5",2016.55978226384
"by",16,"S_Hemisphere_2020.5",2020.18852459016
"by",17,"N_Hemisphere_2012",2006.32688309362
"by",17,"N_Hemisphere_2013",2006.32688309362
"by",17,"N_Hemisphere_2011",2006.32688309362
"by",17,"N_Hemisphere_2014",2006.32688309362
"by",17,"S_Hemisphere_2012.5",2006.32688309362
"by",17,"S_Hemisphere_2013.5",2006.32688309362
"by",17,"S_Hemisphere_2014.5",2006.32688309362
"by",17,"S_Hemisphere_2011.5",2006.32688309362
"by",17,"S_Hemisphere_2019.5",2016.41084706446
"by",17,"S_Hemisphere_2015.5",2006.32688309362
"by",17,"N_Hemisphere_2015",2006.32688309362
"by",17,"N_Hemisphere_2020",2016.41084706446
"by",17,"S_Hemisphere_2017.5",2015.66143960946
"by",17,"N_Hemisphere_2018",2014.4660824567
"by",17,"N_Hemisphere_2019",2015.84542833863
"by",17,"N_Hemisphere_2016",2006.32688309362
"by",17,"S_Hemisphere_2016.5",2006.32688309362
"by",17,"N_Hemisphere_2017",2011.85348749776
"by",17,"S_Hemisphere_2018.5",2016.41084706446
"by",17,"S_Hemisphere_2020.5",2020.18852459016
"by",18,"N_Hemisphere_2012",2006.62182421383
"by",18,"N_Hemisphere_2013",2006.62182421383
"by",18,"N_Hemisphere_2011",2006.62182421383
"by",18,"N_Hemisphere_2014",2006.62182421383
"by",18,"S_Hemisphere_2012.5",2006.62182421383
"by",18,"S_Hemisphere_2013.5",2006.62182421383
"by",18,"S_Hemisphere_2014.5",2006.62182421383
"by",18,"S_Hemisphere_2011.5",2006.62182421383
"by",18,"S_Hemisphere_2019.5",2016.59460163203
"by",18,"S_Hemisphere_2015.5",2006.62182421383
"by",18,"N_Hemisphere_2015",2006.62182421383
"by",18,"N_Hemisphere_2020",2016.59460163203
"by",18,"S_Hemisphere_2017.5",2015.7203229127
"by",18,"N_Hemisphere_2018",2014.26061204032
"by",18,"N_Hemisphere_2019",2015.93009403767
"by",18,"N_Hemisphere_2016",2006.62182421383
"by",18,"S_Hemisphere_2016.5",2006.62182421383
"by",18,"N_Hemisphere_2017",2011.90725825493
"by",18,"S_Hemisphere_2018.5",2016.59460163203
"by",18,"S_Hemisphere_2020.5",2020.18852459016
"by",19,"N_Hemisphere_2012",2005.94247280492
"by",19,"N_Hemisphere_2013",2005.94247280492
"by",19,"N_Hemisphere_2011",2005.94247280492
"by",19,"N_Hemisphere_2014",2005.94247280492
"by",19,"S_Hemisphere_2012.5",2005.94247280492
"by",19,"S_Hemisphere_2013.5",2005.94247280492
"by",19,"S_Hemisphere_2014.5",2005.94247280492
"by",19,"S_Hemisphere_2011.5",2005.94247280492
"by",19,"S_Hemisphere_2019.5",2016.58460992285
"by",19,"S_Hemisphere_2015.5",2005.94247280492
"by",19,"N_Hemisphere_2015",2005.94247280492
"by",19,"N_Hemisphere_2020",2016.58460992285
"by",19,"S_Hemisphere_2017.5",2015.69753908462
"by",19,"N_Hemisphere_2018",2014.27139874319
"by",19,"N_Hemisphere_2019",2016.05796920023
"by",19,"N_Hemisphere_2016",2005.94247280492
"by",19,"S_Hemisphere_2016.5",2005.94247280492
"by",19,"N_Hemisphere_2017",2011.96525993575
"by",19,"S_Hemisphere_2018.5",2016.58460992285
"by",19,"S_Hemisphere_2020.5",2020.18852459016
"by",20,"N_Hemisphere_2012",2005.3097026576
"by",20,"N_Hemisphere_2013",2005.3097026576
"by",20,"N_Hemisphere_2011",2005.3097026576
"by",20,"N_Hemisphere_2014",2005.3097026576
"by",20,"S_Hemisphere_2012.5",2005.3097026576
"by",20,"S_Hemisphere_2013.5",2005.3097026576
"by",20,"S_Hemisphere_2014.5",2005.3097026576
"by",20,"S_Hemisphere_2011.5",2005.3097026576
"by",20,"S_Hemisphere_2019.5",2016.39418412565
"by",20,"S_Hemisphere_2015.5",2005.3097026576
"by",20,"N_Hemisphere_2015",2005.3097026576
"by",20,"N_Hemisphere_2020",2016.39418412565
"by",20,"S_Hemisphere_2017.5",2015.75364496627
"by",20,"N_Hemisphere_2018",2014.1937109045
"by",20,"N_Hemisphere_2019",2016.03539580683
"by",20,"N_Hemisphere_2016",2005.3097026576
"by",20,"S_Hemisphere_2016.5",2005.3097026576
"by",20,"N_Hemisphere_2017",2011.92844687957
"by",20,"S_Hemisphere_2018.5",2016.39418412565
"by",20,"S_Hemisphere_2020.5",2020.18852459016
"by",21,"N_Hemisphere_2012",2005.48107663438
"by",21,"N_Hemisphere_2013",2005.48107663438
"by",21,"N_Hemisphere_2011",2005.48107663438
"by",21,"N_Hemisphere_2014",2005.48107663438
"by",21,"S_Hemisphere_2012.5",2005.48107663438
"by",21,"S_Hemisphere_2013.5",2005.48107663438
"by",21,"S_Hemisphere_2014.5",2005.48107663438
"by",21,"S_Hemisphere_2011.5",2005.48107663438
"by",21,"S_Hemisphere_2019.5",2016.58813075407
"by",21,"S_Hemisphere_2015.5",2005.48107663438
"by",21,"N_Hemisphere_2015",2005.48107663438
"by",21,"N_Hemisphere_2020",2016.58813075407
"by",21,"S_Hemisphere_2017.5",2015.48480796409
"by",21,"N_Hemisphere_2018",2013.98479841484
"by",21,"N_Hemisphere_2019",2015.83189475527
"by",21,"N_Hemisphere_2016",2005.48107663438
"by",21,"S_Hemisphere_2016.5",2005.48107663438
"by",21,"N_Hemisphere_2017",2012.02385197364
"by",21,"S_Hemisphere_2018.5",2016.58813075407
"by",21,"S_Hemisphere_2020.5",2020.18852459016
"by",22,"N_Hemisphere_2012",2005.32929149842
"by",22,"N_Hemisphere_2013",2005.32929149842
"by",22,"N_Hemisphere_2011",2005.32929149842
"by",22,"N_Hemisphere_2014",2005.32929149842
"by",22,"S_Hemisphere_2012.5",2005.32929149842
"by",22,"S_Hemisphere_2013.5",2005.32929149842
"by",22,"S_Hemisphere_2014.5",2005.32929149842
"by",22,"S_Hemisphere_2011.5",2005.32929149842
"by",22,"S_Hemisphere_2019.5",2016.62950058306
"by",22,"S_Hemisphere_2015.5",2005.32929149842
"by",22,"N_Hemisphere_2015",2005.32929149842
"by",22,"N_Hemisphere_2020",2016.69668008137
"by",22,"S_Hemisphere_2017.5",2015.64621504719
"by",22,"N_Hemisphere_2018",2014.01225053713
"by",22,"N_Hemisphere_2019",2015.95023460427
"by",22,"N_Hemisphere_2016",2005.32929149842
"by",22,"S_Hemisphere_2016.5",2005.32929149842
"by",22,"N_Hemisphere_2017",2011.97915855585
"by",22,"S_Hemisphere_2018.5",2016.62950058306
"by",22,"S_Hemisphere_2020.5",2020.18852459016
"by",23,"N_Hemisphere_2012",2005.76863658039
"by",23,"N_Hemisphere_2013",2005.76863658039
"by",23,"N_Hemisphere_2011",2005.76863658039
"by",23,"N_Hemisphere_2014",2005.76863658039
"by",23,"S_Hemisphere_2012.5",2005.76863658039
"by",23,"S_Hemisphere_2013.5",2005.76863658039
"by",23,"S_Hemisphere_2014.5",2005.76863658039
"by",23,"S_Hemisphere_2011.5",2005.76863658039
"by",23,"S_Hemisphere_2019.5",2016.60760037747
"by",23,"S_Hemisphere_2015.5",2005.76863658039
"by",23,"N_Hemisphere_2015",2005.76863658039
"by",23,"N_Hemisphere_2020",2016.60760037747
"by",23,"S_Hemisphere_2017.5",2015.49621529619
"by",23,"N_Hemisphere_2018",2014.06334120284
"by",23,"N_Hemisphere_2019",2015.71387138923
"by",23,"N_Hemisphere_2016",2005.76863658039
"by",23,"S_Hemisphere_2016.5",2005.76863658039
"by",23,"N_Hemisphere_2017",2012.00138983304
"by",23,"S_Hemisphere_2018.5",2016.60760037747
"by",23,"S_Hemisphere_2020.5",2020.18852459016
"by",24,"N_Hemisphere_2012",2006.1508550732
"by",24,"N_Hemisphere_2013",2006.1508550732
"by",24,"N_Hemisphere_2011",2006.1508550732
"by",24,"N_Hemisphere_2014",2006.1508550732
"by",24,"S_Hemisphere_2012.5",2006.1508550732
"by",24,"S_Hemisphere_2013.5",2006.1508550732
"by",24,"S_Hemisphere_2014.5",2006.1508550732
"by",24,"S_Hemisphere_2011.5",2006.1508550732
"by",24,"S_Hemisphere_2019.5",2016.61809600835
"by",24,"S_Hemisphere_2015.5",2006.1508550732
"by",24,"N_Hemisphere_2015",2006.1508550732
"by",24,"N_Hemisphere_2020",2016.61809600835
"by",24,"S_Hemisphere_2017.5",2015.7353757035
"by",24,"N_Hemisphere_2018",2013.89815992276
"by",24,"N_Hemisphere_2019",2015.91387592777
"by",24,"N_Hemisphere_2016",2006.1508550732
"by",24,"S_Hemisphere_2016.5",2006.1508550732
"by",24,"N_Hemisphere_2017",2012.42103834996
"by",24,"S_Hemisphere_2018.5",2016.61809600835
"by",24,"S_Hemisphere_2020.5",2020.18852459016
"by",25,"N_Hemisphere_2012",2006.0680265128
"by",25,"N_Hemisphere_2013",2006.0680265128
"by",25,"N_Hemisphere_2011",2006.0680265128
"by",25,"N_Hemisphere_2014",2006.0680265128
"by",25,"S_Hemisphere_2012.5",2006.0680265128
"by",25,"S_Hemisphere_2013.5",2006.0680265128
"by",25,"S_Hemisphere_2014.5",2006.0680265128
"by",25,"S_Hemisphere_2011.5",2006.0680265128
"by",25,"S_Hemisphere_2019.5",2016.57798724406
"by",25,"S_Hemisphere_2015.5",2006.0680265128
"by",25,"N_Hemisphere_2015",2006.0680265128
"by",25,"N_Hemisphere_2020",2016.57425959794
"by",25,"S_Hemisphere_2017.5",2015.49050621364
"by",25,"N_Hemisphere_2018",2013.91544185536
"by",25,"N_Hemisphere_2019",2015.96983319288
"by",25,"N_Hemisphere_2016",2006.0680265128
"by",25,"S_Hemisphere_2016.5",2006.0680265128
"by",25,"N_Hemisphere_2017",2011.89057829734
"by",25,"S_Hemisphere_2018.5",2016.57425959794
"by",25,"S_Hemisphere_2020.5",2020.18852459016
"by",26,"N_Hemisphere_2012",2005.58502180234
"by",26,"N_Hemisphere_2013",2005.58502180234
"by",26,"N_Hemisphere_2011",2005.58502180234
"by",26,"N_Hemisphere_2014",2005.58502180234
"by",26,"S_Hemisphere_2012.5",2005.58502180234
"by",26,"S_Hemisphere_2013.5",2005.58502180234
"by",26,"S_Hemisphere_2014.5",2005.58502180234
"by",26,"S_Hemisphere_2011.5",2005.58502180234
"by",26,"S_Hemisphere_2019.5",2016.52446295992
"by",26,"S_Hemisphere_2015.5",2005.58502180234
"by",26,"N_Hemisphere_2015",2005.58502180234
"by",26,"N_Hemisphere_2020",2016.52446295992
"by",26,"S_Hemisphere_2017.5",2015.68825668164
"by",26,"N_Hemisphere_2018",2014.10471536809
"by",26,"N_Hemisphere_2019",2016.02002943037
