"date","region","bv_seq"
2019-02-28,"Oceania",4
2019-03-07,"Africa",7
2019-03-07,"Americas",32
2019-03-07,"Asia",54
2019-03-07,"Europe",7
2019-03-07,"Oceania",3
2019-03-14,"Africa",7
2019-03-14,"Americas",42
2019-03-14,"Asia",36
2019-03-14,"Europe",5
2019-03-14,"Oceania",3
2019-03-21,"Africa",12
2019-03-21,"Americas",40
2019-03-21,"Asia",35
2019-03-21,"Europe",3
2019-03-21,"Oceania",3
2019-03-28,"Africa",4
2019-03-28,"Americas",44
2019-03-28,"Asia",28
2019-03-28,"Oceania",7
2019-04-04,"Africa",2
2019-04-04,"Americas",48
2019-04-04,"Asia",33
2019-04-04,"Europe",3
2019-04-04,"Oceania",7
2019-04-11,"Africa",1
2019-04-11,"Americas",50
2019-04-11,"Asia",30
2019-04-11,"Europe",5
2019-04-11,"Oceania",5
2019-04-18,"Africa",2
2019-04-18,"Americas",46
2019-04-18,"Asia",52
2019-04-18,"Europe",6
2019-04-18,"Oceania",5
2019-04-25,"Africa",3
2019-04-25,"Americas",34
2019-04-25,"Asia",44
2019-04-25,"Europe",3
2019-04-25,"Oceania",6
2019-05-02,"Africa",4
2019-05-02,"Americas",31
2019-05-02,"Asia",28
2019-05-02,"Europe",1
2019-05-02,"Oceania",16
2019-05-09,"Africa",3
2019-05-09,"Americas",16
2019-05-09,"Asia",41
2019-05-09,"Europe",3
2019-05-09,"Oceania",13
2019-05-16,"Africa",2
2019-05-16,"Americas",32
2019-05-16,"Asia",25
2019-05-16,"Europe",4
2019-05-16,"Oceania",12
2019-05-23,"Africa",3
2019-05-23,"Americas",22
2019-05-23,"Asia",21
2019-05-23,"Europe",3
2019-05-23,"Oceania",9
2019-05-30,"Africa",5
2019-05-30,"Americas",24
2019-05-30,"Asia",28
2019-05-30,"Oceania",5
2019-06-06,"Africa",7
2019-06-06,"Americas",23
2019-06-06,"Asia",33
2019-06-06,"Europe",1
2019-06-06,"Oceania",12
2019-06-13,"Africa",5
2019-06-13,"Americas",25
2019-06-13,"Asia",37
2019-06-13,"Europe",1
2019-06-13,"Oceania",9
2019-06-20,"Africa",6
2019-06-20,"Americas",15
2019-06-20,"Asia",48
2019-06-20,"Oceania",8
2019-06-27,"Africa",4
2019-06-27,"Americas",12
2019-06-27,"Asia",20
2019-06-27,"Europe",1
2019-06-27,"Oceania",4
2019-07-04,"Africa",3
2019-07-04,"Americas",12
2019-07-04,"Asia",38
2019-07-04,"Europe",1
2019-07-04,"Oceania",6
2019-07-11,"Africa",2
2019-07-11,"Americas",12
2019-07-11,"Asia",22
2019-07-11,"Europe",1
2019-07-11,"Oceania",7
2019-07-18,"Africa",7
2019-07-18,"Americas",3
2019-07-18,"Asia",20
2019-07-18,"Europe",1
2019-07-18,"Oceania",7
2019-07-25,"Africa",2
2019-07-25,"Americas",6
2019-07-25,"Asia",11
2019-07-25,"Europe",4
2019-07-25,"Oceania",6
2019-08-01,"Africa",3
2019-08-01,"Americas",8
2019-08-01,"Asia",17
2019-08-01,"Europe",2
2019-08-01,"Oceania",5
2019-08-08,"Africa",3
2019-08-08,"Americas",14
2019-08-08,"Asia",26
2019-08-08,"Europe",4
2019-08-08,"Oceania",9
2019-08-15,"Africa",1
2019-08-15,"Americas",11
2019-08-15,"Asia",18
2019-08-15,"Europe",1
2019-08-15,"Oceania",11
2019-08-22,"Africa",2
2019-08-22,"Americas",21
2019-08-22,"Asia",23
2019-08-22,"Europe",4
2019-08-22,"Oceania",2
2019-08-29,"Africa",5
2019-08-29,"Americas",18
2019-08-29,"Asia",9
2019-08-29,"Europe",1
2019-08-29,"Oceania",7
2019-09-05,"Africa",1
2019-09-05,"Americas",27
2019-09-05,"Asia",22
2019-09-05,"Europe",1
2019-09-05,"Oceania",17
2019-09-12,"Africa",4
2019-09-12,"Americas",43
2019-09-12,"Asia",18
2019-09-12,"Europe",1
2019-09-12,"Oceania",14
2019-09-19,"Africa",11
2019-09-19,"Americas",34
2019-09-19,"Asia",22
2019-09-19,"Europe",7
2019-09-19,"Oceania",14
2019-09-26,"Africa",11
2019-09-26,"Americas",30
2019-09-26,"Asia",16
2019-09-26,"Europe",4
2019-09-26,"Oceania",12
2019-10-03,"Africa",4
2019-10-03,"Americas",36
2019-10-03,"Asia",16
2019-10-03,"Europe",10
2019-10-03,"Oceania",12
2019-10-10,"Africa",8
2019-10-10,"Americas",44
2019-10-10,"Asia",33
2019-10-10,"Europe",4
2019-10-10,"Oceania",11
2019-10-17,"Africa",3
2019-10-17,"Americas",61
2019-10-17,"Asia",32
2019-10-17,"Europe",6
2019-10-17,"Oceania",9
2019-10-24,"Africa",3
2019-10-24,"Americas",76
2019-10-24,"Asia",33
2019-10-24,"Europe",7
2019-10-24,"Oceania",5
2019-10-31,"Africa",10
2019-10-31,"Americas",66
2019-10-31,"Asia",38
2019-10-31,"Europe",8
2019-10-31,"Oceania",4
2019-11-07,"Africa",14
2019-11-07,"Americas",132
2019-11-07,"Asia",34
2019-11-07,"Europe",28
2019-11-07,"Oceania",2
2019-11-14,"Africa",11
2019-11-14,"Americas",164
2019-11-14,"Asia",29
2019-11-14,"Europe",48
