"date","region","h3n2_seq"
2018-02-15,"Asia",24
2018-02-15,"Europe",130
2018-02-15,"Oceania",9
2018-02-22,"Africa",1
2018-02-22,"Americas",257
2018-02-22,"Asia",22
2018-02-22,"Europe",99
2018-02-22,"Oceania",11
2018-03-01,"Africa",2
2018-03-01,"Americas",167
2018-03-01,"Asia",25
2018-03-01,"Europe",97
2018-03-01,"Oceania",10
2018-03-08,"Americas",154
2018-03-08,"Asia",23
2018-03-08,"Europe",112
2018-03-08,"Oceania",5
2018-03-15,"Americas",113
2018-03-15,"Asia",13
2018-03-15,"Europe",116
2018-03-15,"Oceania",9
2018-03-22,"Africa",1
2018-03-22,"Americas",115
2018-03-22,"Asia",12
2018-03-22,"Europe",62
2018-03-22,"Oceania",3
2018-03-29,"Africa",1
2018-03-29,"Americas",91
2018-03-29,"Asia",13
2018-03-29,"Europe",39
2018-03-29,"Oceania",2
2018-04-05,"Americas",91
2018-04-05,"Asia",23
2018-04-05,"Europe",57
2018-04-05,"Oceania",12
2018-04-12,"Americas",74
2018-04-12,"Asia",17
2018-04-12,"Europe",32
2018-04-12,"Oceania",4
2018-04-19,"Africa",1
2018-04-19,"Americas",51
2018-04-19,"Asia",5
2018-04-19,"Europe",14
2018-04-19,"Oceania",7
2018-04-26,"Americas",61
2018-04-26,"Asia",8
2018-04-26,"Europe",7
2018-04-26,"Oceania",6
2018-05-03,"Africa",2
2018-05-03,"Americas",23
2018-05-03,"Asia",9
2018-05-03,"Europe",11
2018-05-03,"Oceania",1
2018-05-10,"Africa",2
2018-05-10,"Americas",27
2018-05-10,"Asia",13
2018-05-10,"Europe",7
2018-05-10,"Oceania",2
2018-05-17,"Africa",3
2018-05-17,"Americas",26
2018-05-17,"Asia",14
2018-05-17,"Europe",7
2018-05-17,"Oceania",2
2018-05-24,"Africa",1
2018-05-24,"Americas",35
2018-05-24,"Asia",14
2018-05-24,"Europe",5
2018-05-24,"Oceania",5
2018-05-31,"Africa",5
2018-05-31,"Americas",22
2018-05-31,"Asia",14
2018-05-31,"Europe",1
2018-05-31,"Oceania",3
2018-06-07,"Africa",2
2018-06-07,"Americas",18
2018-06-07,"Asia",21
2018-06-07,"Europe",1
2018-06-07,"Oceania",5
2018-06-14,"Africa",4
2018-06-14,"Americas",25
2018-06-14,"Asia",27
2018-06-14,"Europe",4
2018-06-14,"Oceania",6
2018-06-21,"Africa",2
2018-06-21,"Americas",35
2018-06-21,"Asia",15
2018-06-21,"Oceania",2
2018-06-28,"Africa",1
2018-06-28,"Americas",36
2018-06-28,"Asia",9
2018-06-28,"Oceania",2
2018-07-05,"Africa",1
2018-07-05,"Americas",19
2018-07-05,"Asia",13
2018-07-05,"Oceania",7
2018-07-12,"Africa",2
2018-07-12,"Americas",29
2018-07-12,"Asia",28
2018-07-12,"Europe",1
2018-07-12,"Oceania",6
2018-07-19,"Africa",3
2018-07-19,"Americas",27
2018-07-19,"Asia",8
2018-07-19,"Europe",1
2018-07-19,"Oceania",7
2018-07-26,"Africa",3
2018-07-26,"Americas",35
2018-07-26,"Asia",8
2018-07-26,"Oceania",4
2018-08-02,"Africa",7
2018-08-02,"Americas",29
2018-08-02,"Asia",19
2018-08-02,"Oceania",1
2018-08-09,"Africa",1
2018-08-09,"Americas",11
2018-08-09,"Asia",17
2018-08-09,"Oceania",5
2018-08-16,"Americas",14
2018-08-16,"Asia",21
2018-08-16,"Oceania",5
2018-08-23,"Americas",27
2018-08-23,"Asia",13
2018-08-23,"Europe",1
2018-08-23,"Oceania",9
2018-08-30,"Africa",2
2018-08-30,"Americas",33
2018-08-30,"Asia",25
2018-08-30,"Europe",2
2018-08-30,"Oceania",12
2018-09-06,"Africa",3
2018-09-06,"Americas",25
2018-09-06,"Asia",27
2018-09-06,"Europe",6
2018-09-06,"Oceania",15
2018-09-13,"Africa",3
2018-09-13,"Americas",13
2018-09-13,"Asia",34
2018-09-13,"Europe",3
2018-09-13,"Oceania",19
2018-09-20,"Africa",1
2018-09-20,"Americas",12
2018-09-20,"Asia",34
2018-09-20,"Europe",3
2018-09-20,"Oceania",19
2018-09-27,"Africa",4
2018-09-27,"Americas",18
2018-09-27,"Asia",42
2018-09-27,"Europe",1
2018-09-27,"Oceania",20
2018-10-04,"Africa",3
2018-10-04,"Americas",9
2018-10-04,"Asia",51
2018-10-04,"Europe",4
2018-10-04,"Oceania",15
2018-10-11,"Africa",5
2018-10-11,"Americas",12
2018-10-11,"Asia",36
2018-10-11,"Europe",15
2018-10-11,"Oceania",11
2018-10-18,"Africa",3
2018-10-18,"Americas",16
2018-10-18,"Asia",37
2018-10-18,"Europe",7
2018-10-18,"Oceania",7
2018-10-25,"Africa",14
2018-10-25,"Americas",26
2018-10-25,"Asia",31
2018-10-25,"Europe",8
2018-10-25,"Oceania",8
2018-11-01,"Africa",13
2018-11-01,"Americas",22
2018-11-01,"Asia",47
2018-11-01,"Europe",24
2018-11-01,"Oceania",7
2018-11-08,"Africa",13
2018-11-08,"Americas",25
2018-11-08,"Asia",38
2018-11-08,"Europe",20
2018-11-08,"Oceania",11
2018-11-15,"Africa",17
2018-11-15,"Americas",21
2018-11-15,"Asia",34
2018-11-15,"Europe",19
2018-11-15,"Oceania",9
2018-11-22,"Africa",10
2018-11-22,"Americas",31
2018-11-22,"Asia",41
2018-11-22,"Europe",33
2018-11-22,"Oceania",6
2018-11-29,"Africa",12
2018-11-29,"Americas",44
2018-11-29,"Asia",47
2018-11-29,"Europe",60
2018-11-29,"Oceania",3
2018-12-06,"Africa",8
2018-12-06,"Americas",54
2018-12-06,"Asia",56
2018-12-06,"Europe",71
2018-12-06,"Oceania",10
2018-12-13,"Africa",10
2018-12-13,"Americas",61
2018-12-13,"Asia",59
2018-12-13,"Europe",67
2018-12-13,"Oceania",6
2018-12-20,"Africa",5
2018-12-20,"Americas",83
2018-12-20,"Asia",74
2018-12-20,"Europe",126
2018-12-20,"Oceania",5
2018-12-27,"Africa",13
2018-12-27,"Americas",101
2018-12-27,"Asia",85
2018-12-27,"Europe",98
2018-12-27,"Oceania",5
2019-01-03,"Africa",6
2019-01-03,"Americas",103
2019-01-03,"Asia",67
2019-01-03,"Europe",131
2019-01-03,"Oceania",16
2019-01-10,"Africa",18
2019-01-10,"Americas",120
2019-01-10,"Asia",109
2019-01-10,"Europe",167
2019-01-10,"Oceania",21
2019-01-17,"Africa",7
2019-01-17,"Americas",143
2019-01-17,"Asia",122
2019-01-17,"Europe",209
2019-01-17,"Oceania",32
2019-01-24,"Africa",14
2019-01-24,"Americas",201
2019-01-24,"Asia",78
2019-01-24,"Europe",192
2019-01-24,"Oceania",13
2019-01-31,"Africa",13
2019-01-31,"Americas",259
2019-01-31,"Asia",92
2019-01-31,"Europe",211
2019-01-31,"Oceania",10
2019-02-07,"Africa",30
2019-02-07,"Americas",314
2019-02-07,"Asia",80
2019-02-07,"Europe",253
2019-02-07,"Oceania",14
2019-02-14,"Africa",28
2019-02-14,"Americas",218
2019-02-14,"Asia",61
2019-02-14,"Europe",251
2019-02-14,"Oceania",18
2019-02-21,"Africa",22
2019-02-21,"Americas",227
2019-02-21,"Asia",35
2019-02-21,"Europe",229
2019-02-21,"Oceania",13
2019-02-28,"Africa",20
2019-02-28,"Americas",255
2019-02-28,"Asia",33
2019-02-28,"Europe",217
2019-02-28,"Oceania",34
2019-03-07,"Africa",17
2019-03-07,"Americas",318
2019-03-07,"Asia",52
2019-03-07,"Europe",168
2019-03-07,"Oceania",49
2019-03-14,"Africa",14
2019-03-14,"Americas",425
2019-03-14,"Asia",41
2019-03-14,"Europe",155
2019-03-14,"Oceania",54
2019-03-21,"Africa",30
2019-03-21,"Americas",354
2019-03-21,"Asia",27
2019-03-21,"Europe",145
2019-03-21,"Oceania",42
2019-03-28,"Africa",8
2019-03-28,"Americas",289
2019-03-28,"Asia",24
2019-03-28,"Europe",122
2019-03-28,"Oceania",19
2019-04-04,"Africa",7
2019-04-04,"Americas",251
2019-04-04,"Asia",17
2019-04-04,"Europe",87
2019-04-04,"Oceania",34
2019-04-11,"Africa",4
2019-04-11,"Americas",199
2019-04-11,"Asia",25
2019-04-11,"Europe",76
2019-04-11,"Oceania",45
2019-04-18,"Africa",6
2019-04-18,"Americas",154
2019-04-18,"Asia",39
2019-04-18,"Europe",69
2019-04-18,"Oceania",50
2019-04-25,"Africa",4
2019-04-25,"Americas",93
2019-04-25,"Asia",46
2019-04-25,"Europe",43
2019-04-25,"Oceania",39
2019-05-02,"Africa",3
2019-05-02,"Americas",64
2019-05-02,"Asia",37
2019-05-02,"Europe",22
2019-05-02,"Oceania",36
2019-05-09,"Africa",4
2019-05-09,"Americas",54
2019-05-09,"Asia",44
2019-05-09,"Europe",20
2019-05-09,"Oceania",29
2019-05-16,"Africa",14
2019-05-16,"Americas",49
2019-05-16,"Asia",44
2019-05-16,"Europe",15
2019-05-16,"Oceania",40
2019-05-23,"Africa",11
2019-05-23,"Americas",41
2019-05-23,"Asia",46
2019-05-23,"Europe",6
2019-05-23,"Oceania",50
2019-05-30,"Africa",13
2019-05-30,"Americas",42
2019-05-30,"Asia",39
2019-05-30,"Europe",4
2019-05-30,"Oceania",38
2019-06-06,"Africa",15
2019-06-06,"Americas",37
2019-06-06,"Asia",38
2019-06-06,"Europe",6
2019-06-06,"Oceania",51
2019-06-13,"Africa",17
2019-06-13,"Americas",43
2019-06-13,"Asia",58
2019-06-13,"Europe",3
2019-06-13,"Oceania",31
2019-06-20,"Africa",7
2019-06-20,"Americas",33
2019-06-20,"Asia",102
2019-06-20,"Europe",2
2019-06-20,"Oceania",28
2019-06-27,"Africa",11
2019-06-27,"Americas",51
2019-06-27,"Asia",62
2019-06-27,"Europe",3
2019-06-27,"Oceania",27
2019-07-04,"Africa",12
2019-07-04,"Americas",38
2019-07-04,"Asia",52
2019-07-04,"Europe",1
2019-07-04,"Oceania",27
2019-07-11,"Africa",13
