"date","region","by_seq"
2018-11-15,"Americas",10
2018-11-15,"Asia",11
2018-11-15,"Europe",2
2018-11-15,"Oceania",4
2018-11-22,"Americas",12
2018-11-22,"Asia",10
2018-11-22,"Oceania",1
2018-11-29,"Africa",1
2018-11-29,"Americas",16
2018-11-29,"Asia",12
2018-11-29,"Oceania",2
2018-12-06,"Africa",1
2018-12-06,"Americas",14
2018-12-06,"Asia",2
2018-12-06,"Europe",2
2018-12-13,"Africa",4
2018-12-13,"Americas",11
2018-12-13,"Asia",8
2018-12-13,"Europe",3
2018-12-13,"Oceania",2
2018-12-20,"Africa",1
2018-12-20,"Americas",11
2018-12-20,"Asia",12
2018-12-20,"Europe",2
2018-12-27,"Africa",4
2018-12-27,"Americas",14
2018-12-27,"Asia",11
2018-12-27,"Oceania",2
2019-01-03,"Africa",3
2019-01-03,"Americas",14
2019-01-03,"Asia",12
2019-01-03,"Europe",3
2019-01-10,"Africa",2
2019-01-10,"Americas",17
2019-01-10,"Asia",11
2019-01-10,"Europe",2
2019-01-10,"Oceania",4
2019-01-17,"Africa",2
2019-01-17,"Americas",15
2019-01-17,"Asia",11
2019-01-17,"Europe",5
2019-01-17,"Oceania",2
2019-01-24,"Americas",9
2019-01-24,"Asia",9
2019-01-24,"Europe",4
2019-01-24,"Oceania",3
2019-01-31,"Africa",2
2019-01-31,"Americas",13
2019-01-31,"Asia",10
2019-01-31,"Europe",7
2019-01-31,"Oceania",2
2019-02-07,"Americas",13
2019-02-07,"Asia",23
2019-02-07,"Europe",1
2019-02-07,"Oceania",5
2019-02-14,"Americas",12
2019-02-14,"Asia",15
2019-02-14,"Europe",3
2019-02-14,"Oceania",4
2019-02-21,"Americas",16
2019-02-21,"Asia",12
2019-02-21,"Europe",10
2019-02-21,"Oceania",1
2019-02-28,"Americas",8
2019-02-28,"Asia",15
2019-02-28,"Europe",2
2019-02-28,"Oceania",2
2019-03-07,"Africa",1
2019-03-07,"Americas",16
2019-03-07,"Asia",6
2019-03-07,"Europe",3
2019-03-07,"Oceania",1
2019-03-14,"Americas",19
2019-03-14,"Asia",5
2019-03-14,"Europe",3
2019-03-14,"Oceania",1
2019-03-21,"Americas",17
2019-03-21,"Asia",8
2019-03-21,"Europe",10
2019-03-28,"Africa",1
2019-03-28,"Americas",20
2019-03-28,"Asia",3
2019-03-28,"Europe",1
2019-04-04,"Americas",20
2019-04-04,"Asia",7
2019-04-04,"Europe",1
2019-04-11,"Americas",14
2019-04-11,"Asia",3
2019-04-18,"Americas",14
2019-04-18,"Asia",5
2019-04-18,"Europe",1
2019-04-25,"Americas",19
2019-04-25,"Asia",6
2019-04-25,"Europe",4
2019-04-25,"Oceania",1
2019-05-02,"Americas",10
2019-05-02,"Asia",6
2019-05-02,"Europe",2
2019-05-09,"Americas",6
2019-05-09,"Asia",3
2019-05-09,"Europe",1
2019-05-09,"Oceania",1
2019-05-16,"Americas",7
2019-05-16,"Asia",2
2019-05-16,"Europe",1
2019-05-23,"Americas",2
2019-05-23,"Asia",1
2019-05-23,"Europe",1
2019-05-30,"Americas",4
2019-05-30,"Asia",3
2019-06-06,"Africa",1
2019-06-06,"Americas",3
2019-06-06,"Asia",1
2019-06-06,"Europe",1
2019-06-13,"Africa",1
2019-06-13,"Americas",6
2019-06-13,"Asia",1
2019-06-13,"Europe",1
2019-06-20,"Americas",2
2019-06-20,"Asia",3
2019-06-27,"Americas",6
2019-06-27,"Asia",2
2019-07-04,"Americas",4
2019-07-11,"Americas",11
2019-07-11,"Asia",3
2019-07-18,"Americas",1
2019-07-18,"Oceania",1
2019-07-25,"Americas",1
2019-08-01,"Americas",2
2019-08-08,"Americas",9
2019-08-15,"Americas",14
2019-08-22,"Americas",14
2019-08-22,"Oceania",1
2019-08-29,"Americas",19
2019-09-05,"Americas",17
2019-09-05,"Asia",1
2019-09-05,"Oceania",1
2019-09-12,"Americas",27
2019-09-19,"Americas",13
2019-09-26,"Americas",9
2019-09-26,"Asia",1
2019-10-03,"Americas",8
2019-10-03,"Asia",3
2019-10-10,"Americas",9
2019-10-10,"Asia",1
2019-10-17,"Africa",2
2019-10-17,"Americas",8
2019-10-24,"Americas",9
2019-10-24,"Europe",1
2019-10-31,"Americas",10
2019-10-31,"Europe",1
2019-11-07,"Americas",14
2019-11-07,"Europe",2
2019-11-14,"Americas",7
2019-11-21,"Americas",8
2019-11-21,"Europe",1
2019-11-28,"Africa",1
2019-11-28,"Americas",4
2019-11-28,"Europe",6
2019-12-05,"Africa",1
2019-12-05,"Americas",9
2019-12-05,"Europe",3
2019-12-12,"Africa",2
2019-12-12,"Americas",8
2019-12-12,"Asia",1
2019-12-12,"Europe",2
2019-12-19,"Americas",12
2019-12-19,"Europe",4
2019-12-26,"Americas",10
2020-01-02,"Americas",8
2020-01-02,"Europe",5
2020-01-09,"Africa",1
2020-01-09,"Americas",14
2020-01-09,"Europe",3
2020-01-16,"Americas",5
2020-01-23,"Africa",1
2020-01-23,"Americas",5
2020-01-23,"Europe",3
2020-01-30,"Americas",3
2020-01-30,"Europe",1
2020-02-06,"Americas",4
2020-02-06,"Europe",1
2020-02-13,"Americas",4
2020-02-13,"Europe",2
2020-02-20,"Africa",1
2020-02-20,"Americas",6
2020-02-27,"Africa",1
2020-02-27,"Americas",2
2020-02-27,"Europe",2
2020-03-05,"Americas",1
2020-03-05,"Asia",1
2020-03-05,"Europe",1
2020-03-12,"Africa",1
2020-03-12,"Americas",2
2020-03-12,"Europe",1
2020-03-12,"Oceania",1
2020-03-19,"Americas",2
2020-03-19,"Europe",3
2020-03-26,"Americas",1
