,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"c[Europe, 2021-10]",0.363,0.328,-0.205,0.867,0.002,0.003,18962.0,6000.0,1.0
"c[Europe, 2021-11]",0.254,0.304,-0.24,0.752,0.002,0.003,15207.0,5533.0,1.0
"c[Europe, 2021-12]",0.242,0.312,-0.291,0.733,0.003,0.003,14272.0,5349.0,1.0
"c[Europe, 2022-01]",0.139,0.262,-0.282,0.573,0.002,0.003,13703.0,6148.0,1.0
"c[Europe, 2022-02]",0.11,0.283,-0.378,0.55,0.002,0.003,14712.0,6364.0,1.0
"c[Europe, 2022-03]",0.217,0.332,-0.35,0.734,0.003,0.003,14879.0,5933.0,1.0
"c[Europe, 2022-04]",0.401,0.383,-0.253,0.996,0.003,0.003,17901.0,5776.0,1.0
"c[Europe, 2022-05]",0.452,0.386,-0.201,1.069,0.003,0.003,19007.0,5479.0,1.0
"c[Europe, 2022-06]",0.403,0.361,-0.191,0.996,0.003,0.003,18890.0,5283.0,1.0
"c[Europe, 2022-07]",0.285,0.341,-0.303,0.825,0.003,0.003,16006.0,5532.0,1.0
"c[Europe, 2022-08]",0.263,0.342,-0.309,0.808,0.003,0.003,16034.0,5797.0,1.0
"c[Europe, 2022-09]",0.261,0.352,-0.325,0.836,0.003,0.003,14573.0,5350.0,1.0
"c[Europe, 2022-10]",0.345,0.379,-0.322,0.935,0.003,0.003,19109.0,5927.0,1.0
"c[Europe, 2022-11]",0.554,0.368,-0.05,1.178,0.003,0.003,16252.0,5414.0,1.0
"c[Europe, 2022-12]",0.571,0.364,-0.001,1.191,0.003,0.003,15352.0,5625.0,1.0
"c[Europe, 2023-01]",0.598,0.354,0.009,1.166,0.003,0.003,15172.0,5550.0,1.0
"c[Europe, 2023-02]",0.596,0.347,0.03,1.163,0.003,0.002,18124.0,6194.0,1.0
"c[Europe, 2023-03]",0.493,0.383,-0.147,1.11,0.003,0.003,19485.0,5496.0,1.0
"c[Europe, 2023-04]",0.35,0.373,-0.245,0.968,0.003,0.003,16931.0,5927.0,1.0
"c[Europe, 2023-05]",0.31,0.345,-0.264,0.87,0.003,0.003,15511.0,5800.0,1.0
"c[Europe, 2023-06]",0.419,0.333,-0.101,0.982,0.002,0.003,21412.0,5476.0,1.0
"c[Europe, 2023-07]",0.489,0.296,0.006,0.972,0.002,0.002,17327.0,5973.0,1.0
"c[Europe, 2023-08]",0.582,0.307,0.101,1.115,0.003,0.002,14364.0,5837.0,1.0
"c[Europe, 2023-09]",0.65,0.318,0.119,1.164,0.003,0.002,13893.0,5634.0,1.0
"c[Europe, 2023-10]",0.708,0.342,0.139,1.258,0.003,0.002,14459.0,5716.0,1.0
"c[Europe, 2023-11]",0.376,0.379,-0.275,0.967,0.003,0.003,16830.0,5173.0,1.0
"c[Europe, 2023-12]",0.429,0.381,-0.214,1.031,0.003,0.003,18357.0,5497.0,1.0
mu[0],-0.094,0.457,-0.848,0.644,0.004,0.006,15214.0,5219.0,1.0
mu[1],-0.323,0.533,-1.174,0.551,0.004,0.005,19355.0,5660.0,1.0
mu[2],0.06,0.342,-0.476,0.643,0.003,0.004,15948.0,5746.0,1.0
mu[3],0.082,0.275,-0.374,0.525,0.002,0.003,17016.0,5706.0,1.0
mu[4],-0.364,0.496,-1.165,0.457,0.004,0.005,18279.0,5712.0,1.0
