,mean,sd,hdi_5%,hdi_95%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"b_z[Southern Asia, 2021-08]",1.94,0.862,0.529,3.335,0.007,0.005,15897.0,6008.0,1.0
"b_z[Southern Asia, 2021-09]",1.533,0.939,0.034,3.125,0.009,0.008,11990.0,4818.0,1.0
"b_z[Southern Asia, 2021-10]",0.897,0.978,-0.65,2.556,0.008,0.009,14556.0,5061.0,1.0
"b_z[Southern Asia, 2021-11]",0.127,1.001,-1.473,1.81,0.007,0.013,18926.0,5474.0,1.0
"b_z[Southern Asia, 2021-12]",-0.73,1.0,-2.348,0.923,0.008,0.01,16103.0,5712.0,1.0
"b_z[Southern Asia, 2022-01]",-1.643,0.925,-3.202,-0.178,0.008,0.007,11911.0,6197.0,1.0
"b_z[Southern Asia, 2022-02]",-1.82,0.884,-3.338,-0.41,0.008,0.006,13560.0,5548.0,1.0
"b_z[Southern Asia, 2022-03]",-1.916,0.891,-3.446,-0.521,0.008,0.006,13644.0,5443.0,1.0
"b_z[Southern Asia, 2022-04]",-1.843,0.877,-3.352,-0.473,0.007,0.006,15396.0,5856.0,1.0
"b_z[Southern Asia, 2022-05]",-1.724,0.841,-3.133,-0.381,0.007,0.006,13129.0,6402.0,1.0
"b_z[Southern Asia, 2022-06]",-1.622,0.859,-2.99,-0.164,0.007,0.006,15776.0,6087.0,1.0
"b_z[Southern Asia, 2022-07]",-1.596,0.876,-3.027,-0.133,0.007,0.006,14611.0,6022.0,1.0
"b_z[Southern Asia, 2022-08]",-1.498,0.926,-3.039,-0.004,0.008,0.007,13265.0,5566.0,1.0
"b_z[Southern Asia, 2022-09]",-1.234,0.945,-2.851,0.238,0.008,0.008,14831.0,5575.0,1.0
"b_z[Southern Asia, 2022-10]",-0.9,0.942,-2.455,0.641,0.007,0.009,16488.0,5829.0,1.0
"b_z[Southern Asia, 2022-11]",-0.466,0.967,-2.054,1.09,0.007,0.012,18632.0,5159.0,1.0
"b_z[Southern Asia, 2022-12]",-0.24,0.99,-1.858,1.389,0.007,0.012,18111.0,5600.0,1.0
"b_z[Southern Asia, 2023-01]",-0.166,1.013,-1.821,1.536,0.007,0.012,19300.0,6252.0,1.0
"b_z[Southern Asia, 2023-02]",-0.179,0.988,-1.819,1.419,0.007,0.013,19122.0,5804.0,1.0
"b_z[Southern Asia, 2023-03]",-0.29,0.942,-1.816,1.284,0.007,0.011,17452.0,5792.0,1.0
"b_z[Southern Asia, 2023-04]",-0.315,0.891,-1.791,1.137,0.007,0.011,18708.0,5327.0,1.0
"b_z[Southern Asia, 2023-05]",-0.382,0.806,-1.714,0.916,0.006,0.009,17289.0,5785.0,1.0
"b_z[Southern Asia, 2023-06]",-0.363,0.738,-1.594,0.825,0.006,0.008,17635.0,6026.0,1.0
"b_z[Southern Asia, 2023-07]",-0.444,0.734,-1.6,0.799,0.005,0.008,18656.0,6085.0,1.0
"b_z[Southern Asia, 2023-08]",-0.35,0.737,-1.539,0.886,0.006,0.008,15172.0,6387.0,1.0
"b_z[Southern Asia, 2023-09]",-0.148,0.721,-1.378,0.98,0.006,0.008,15395.0,6246.0,1.0
"b_z[Southern Asia, 2023-10]",-0.035,0.753,-1.339,1.141,0.006,0.009,15677.0,6367.0,1.0
"b_z[Southern Asia, 2023-11]",0.103,0.74,-1.05,1.375,0.006,0.009,15865.0,6250.0,1.0
"b_z[Southern Asia, 2023-12]",0.077,0.715,-1.09,1.239,0.006,0.008,15153.0,6396.0,1.0
"b_z[Russia, 2017-01]",0.051,0.863,-1.358,1.465,0.006,0.011,17833.0,5313.0,1.0
"b_z[Russia, 2017-02]",-0.049,0.894,-1.571,1.36,0.007,0.011,16775.0,6043.0,1.0
"b_z[Russia, 2017-03]",-0.017,0.855,-1.433,1.365,0.006,0.011,20789.0,5805.0,1.0
"b_z[Russia, 2017-04]",0.092,0.837,-1.387,1.368,0.006,0.011,18815.0,5483.0,1.0
"b_z[Russia, 2017-05]",0.261,0.821,-1.124,1.531,0.006,0.011,17797.0,5327.0,1.0
"b_z[Russia, 2017-06]",0.172,0.92,-1.366,1.664,0.007,0.012,19473.0,5413.0,1.0
"b_z[Russia, 2017-07]",0.139,0.944,-1.408,1.67,0.007,0.012,19164.0,5006.0,1.0
"b_z[Russia, 2017-08]",0.152,0.986,-1.379,1.833,0.007,0.013,19197.0,5025.0,1.0
"b_z[Russia, 2017-09]",0.302,0.933,-1.186,1.848,0.007,0.011,16366.0,5685.0,1.0
"b_z[Russia, 2017-10]",0.305,0.939,-1.274,1.819,0.007,0.012,17076.0,4895.0,1.0
"b_z[Russia, 2017-11]",0.4,0.93,-1.148,1.892,0.007,0.01,16230.0,5725.0,1.0
"b_z[Russia, 2017-12]",0.332,0.924,-1.158,1.911,0.007,0.011,17427.0,5155.0,1.0
"b_z[Russia, 2018-01]",0.34,0.894,-1.167,1.742,0.007,0.011,16335.0,5939.0,1.0
"b_z[Russia, 2018-02]",0.292,0.929,-1.229,1.841,0.007,0.012,18831.0,5771.0,1.0
"b_z[Russia, 2018-03]",0.226,0.94,-1.336,1.777,0.007,0.013,19291.0,5164.0,1.0
"b_z[Russia, 2018-04]",0.123,0.99,-1.453,1.763,0.008,0.013,17108.0,5747.0,1.0
"b_z[Russia, 2018-05]",0.112,0.987,-1.437,1.839,0.007,0.013,19610.0,5346.0,1.0
"b_z[Russia, 2018-06]",0.066,0.962,-1.495,1.653,0.007,0.012,18775.0,5609.0,1.0
"b_z[Russia, 2018-07]",0.036,0.97,-1.542,1.617,0.007,0.013,19451.0,5353.0,1.0
"b_z[Russia, 2018-08]",0.021,0.985,-1.586,1.659,0.007,0.013,18929.0,5429.0,1.0
"b_z[Russia, 2018-09]",0.081,0.989,-1.482,1.794,0.007,0.013,19217.0,5481.0,1.0
"b_z[Russia, 2018-10]",0.269,0.898,-1.157,1.776,0.007,0.011,15827.0,5497.0,1.0
"b_z[Russia, 2018-11]",0.512,0.814,-0.845,1.807,0.006,0.009,19008.0,5528.0,1.0
"b_z[Russia, 2018-12]",0.477,0.787,-0.799,1.778,0.006,0.008,15670.0,5602.0,1.0
"b_z[Russia, 2019-01]",0.423,0.756,-0.826,1.642,0.006,0.009,17682.0,5079.0,1.0
"b_z[Russia, 2019-02]",0.333,0.763,-0.885,1.611,0.006,0.009,17796.0,5368.0,1.0
"b_z[Russia, 2019-03]",0.355,0.758,-0.838,1.607,0.006,0.009,17967.0,5581.0,1.0
"b_z[Russia, 2019-04]",0.453,0.788,-0.866,1.727,0.006,0.008,18272.0,5145.0,1.0
"b_z[Russia, 2019-05]",0.123,1.001,-1.534,1.745,0.008,0.014,16664.0,5428.0,1.0
"b_z[Russia, 2019-06]",-0.223,0.95,-1.784,1.31,0.007,0.012,17792.0,5253.0,1.0
"b_z[Russia, 2019-07]",-0.236,0.925,-1.844,1.189,0.007,0.011,16092.0,5778.0,1.0
"b_z[Russia, 2019-08]",0.094,0.981,-1.65,1.585,0.007,0.014,17530.0,4483.0,1.0
"b_z[Russia, 2019-09]",0.312,0.915,-1.202,1.809,0.007,0.011,17826.0,5812.0,1.0
"b_z[Russia, 2019-10]",0.457,0.855,-1.008,1.778,0.007,0.01,17162.0,5950.0,1.0
"b_z[Russia, 2019-11]",0.356,0.947,-1.195,1.887,0.007,0.011,17263.0,5435.0,1.0
"b_z[Russia, 2019-12]",0.248,0.957,-1.375,1.77,0.007,0.012,17600.0,5766.0,1.0
"b_z[Russia, 2020-01]",-0.004,0.992,-1.696,1.585,0.007,0.013,19163.0,6008.0,1.0
"b_z[Russia, 2020-02]",-0.093,0.981,-1.597,1.638,0.007,0.012,18192.0,5877.0,1.0
"b_z[Russia, 2020-03]",-0.351,0.898,-1.827,1.103,0.007,0.011,18978.0,5455.0,1.0
"b_z[Russia, 2020-04]",-0.634,0.918,-2.073,0.919,0.008,0.009,13127.0,5935.0,1.0
"b_z[Russia, 2020-05]",-0.811,0.897,-2.225,0.714,0.007,0.008,14672.0,6315.0,1.0
"b_z[Russia, 2020-06]",-0.834,0.885,-2.282,0.64,0.007,0.008,15451.0,5495.0,1.0
"b_z[Russia, 2020-07]",-0.77,0.844,-2.074,0.677,0.007,0.007,15784.0,5418.0,1.0
"b_z[Russia, 2020-08]",-0.682,0.811,-1.976,0.643,0.006,0.007,17205.0,6002.0,1.0
"b_z[Russia, 2020-09]",-0.755,0.808,-2.053,0.601,0.007,0.007,14654.0,5406.0,1.0
"b_z[Russia, 2020-10]",-0.862,0.801,-2.153,0.462,0.006,0.007,16711.0,6173.0,1.0
"b_z[Russia, 2020-11]",-0.933,0.81,-2.245,0.414,0.006,0.006,16316.0,6373.0,1.0
"b_z[Russia, 2020-12]",-0.916,0.78,-2.204,0.366,0.007,0.006,13941.0,5746.0,1.0
"b_z[Russia, 2021-01]",-0.808,0.768,-2.097,0.432,0.006,0.006,15765.0,5847.0,1.0
"b_z[Russia, 2021-02]",-0.85,0.745,-2.092,0.336,0.006,0.006,16618.0,6666.0,1.0
"b_z[Russia, 2021-03]",-0.635,0.664,-1.668,0.524,0.005,0.005,17584.0,5964.0,1.0
"b_z[Russia, 2021-04]",-0.453,0.625,-1.465,0.55,0.005,0.007,17817.0,5733.0,1.0
"b_z[Russia, 2021-05]",-0.131,0.613,-1.145,0.874,0.004,0.008,19635.0,5847.0,1.0
"b_z[Russia, 2021-06]",0.002,0.708,-1.158,1.167,0.006,0.009,16038.0,5887.0,1.0
"b_z[Russia, 2021-07]",0.069,0.739,-1.134,1.278,0.006,0.009,16410.0,5958.0,1.0
"b_z[Russia, 2021-08]",0.17,0.802,-1.22,1.435,0.007,0.009,14722.0,6209.0,1.0
"b_z[Russia, 2021-09]",0.358,0.801,-0.988,1.612,0.006,0.009,15838.0,5947.0,1.0
"b_z[Russia, 2021-10]",0.334,0.902,-1.112,1.814,0.006,0.011,19350.0,5690.0,1.0
"b_z[Russia, 2021-11]",0.154,0.955,-1.469,1.687,0.007,0.013,18754.0,5141.0,1.0
"b_z[Russia, 2021-12]",0.071,0.988,-1.571,1.673,0.007,0.013,17542.0,5284.0,1.0
"b_z[Russia, 2022-01]",-0.016,0.986,-1.658,1.576,0.007,0.013,18084.0,5197.0,1.0
"b_z[Russia, 2022-02]",0.189,0.945,-1.386,1.699,0.007,0.012,17286.0,5472.0,1.0
"b_z[Russia, 2022-03]",0.518,0.918,-1.001,2.008,0.007,0.01,17560.0,5399.0,1.0
"b_z[Russia, 2022-04]",0.524,0.942,-1.029,2.055,0.007,0.011,17251.0,5573.0,1.0
"b_z[Russia, 2022-05]",0.458,0.932,-1.045,2.008,0.007,0.011,18464.0,5382.0,1.0
"b_z[Russia, 2022-06]",0.237,0.953,-1.36,1.752,0.007,0.011,19575.0,5701.0,1.0
"b_z[Russia, 2022-07]",0.086,0.951,-1.455,1.646,0.007,0.012,16887.0,5895.0,1.0
"b_z[Russia, 2022-08]",0.06,0.985,-1.54,1.689,0.008,0.012,16141.0,6063.0,1.0
"b_z[Russia, 2022-09]",0.059,0.977,-1.516,1.706,0.007,0.013,18653.0,5162.0,1.0
"b_z[Russia, 2022-10]",0.029,0.985,-1.468,1.762,0.007,0.013,18290.0,5526.0,1.0
"b_z[Russia, 2022-11]",-0.137,0.973,-1.665,1.555,0.007,0.012,19971.0,5579.0,1.0
"b_z[Russia, 2022-12]",-0.254,0.971,-1.874,1.356,0.007,0.012,19262.0,5507.0,1.0
"b_z[Russia, 2023-01]",-0.309,0.959,-2.009,1.167,0.007,0.012,17544.0,5681.0,1.0
"b_z[Russia, 2023-02]",-0.239,0.981,-1.839,1.41,0.007,0.012,18998.0,5455.0,1.0
"b_z[Russia, 2023-03]",-0.014,0.989,-1.59,1.644,0.007,0.013,17618.0,5289.0,1.0
"b_z[Russia, 2023-04]",0.391,0.946,-1.132,1.979,0.007,0.011,18829.0,5795.0,1.0
"b_z[Russia, 2023-05]",0.687,0.817,-0.645,2.081,0.007,0.008,15769.0,5416.0,1.0
"b_z[Russia, 2023-06]",0.489,0.822,-0.923,1.784,0.006,0.009,19204.0,5879.0,1.0
"b_z[Russia, 2023-07]",0.215,0.928,-1.337,1.708,0.007,0.011,17559.0,5907.0,1.0
"b_z[Russia, 2023-08]",0.223,0.915,-1.264,1.735,0.007,0.011,19585.0,6342.0,1.0
"b_z[Russia, 2023-09]",0.414,0.849,-1.029,1.742,0.006,0.011,18251.0,5010.0,1.0
"b_z[Russia, 2023-10]",0.596,0.682,-0.546,1.694,0.005,0.006,18391.0,5730.0,1.0
"b_z[Russia, 2023-11]",0.522,0.704,-0.629,1.687,0.006,0.007,16285.0,5461.0,1.0
"b_z[Russia, 2023-12]",0.409,0.674,-0.663,1.557,0.005,0.007,17547.0,6454.0,1.0
"b_z[Europe, 2017-01]",0.303,0.682,-0.816,1.411,0.005,0.008,17670.0,5657.0,1.0
"b_z[Europe, 2017-02]",0.318,0.767,-0.946,1.562,0.006,0.008,16749.0,5900.0,1.0
"b_z[Europe, 2017-03]",0.196,0.852,-1.116,1.648,0.006,0.012,19591.0,5466.0,1.0
"b_z[Europe, 2017-04]",0.11,0.846,-1.254,1.521,0.007,0.01,16692.0,6120.0,1.0
"b_z[Europe, 2017-05]",0.084,0.886,-1.359,1.546,0.007,0.011,17856.0,5857.0,1.0
"b_z[Europe, 2017-06]",0.111,0.898,-1.392,1.562,0.007,0.012,17128.0,5623.0,1.0
"b_z[Europe, 2017-07]",0.09,0.943,-1.442,1.647,0.007,0.012,17308.0,5589.0,1.0
"b_z[Europe, 2017-08]",0.071,0.977,-1.621,1.607,0.007,0.013,17569.0,5336.0,1.0
"b_z[Europe, 2017-09]",0.087,0.977,-1.551,1.632,0.007,0.013,18764.0,5744.0,1.0
"b_z[Europe, 2017-10]",0.151,0.952,-1.359,1.765,0.008,0.012,15076.0,5860.0,1.0
"b_z[Europe, 2017-11]",0.328,0.93,-1.111,1.935,0.007,0.011,15965.0,5332.0,1.0
"b_z[Europe, 2017-12]",0.333,0.952,-1.171,1.893,0.007,0.012,17909.0,5607.0,1.0
"b_z[Europe, 2018-01]",0.377,0.921,-1.138,1.887,0.007,0.012,17161.0,5303.0,1.0
"b_z[Europe, 2018-02]",0.394,0.907,-1.183,1.81,0.007,0.011,18605.0,5738.0,1.0
"b_z[Europe, 2018-03]",0.28,0.892,-1.128,1.815,0.007,0.011,17473.0,5854.0,1.0
"b_z[Europe, 2018-04]",0.166,0.929,-1.303,1.75,0.007,0.012,17659.0,5613.0,1.0
"b_z[Europe, 2018-05]",0.055,0.99,-1.568,1.668,0.007,0.014,19193.0,5499.0,1.0
"b_z[Europe, 2018-06]",-0.007,1.008,-1.697,1.634,0.008,0.013,17691.0,5496.0,1.0
"b_z[Europe, 2018-07]",-0.035,0.994,-1.597,1.686,0.008,0.014,16547.0,4967.0,1.0
"b_z[Europe, 2018-08]",0.02,1.007,-1.663,1.638,0.008,0.014,17534.0,5993.0,1.0
"b_z[Europe, 2018-09]",0.075,0.983,-1.586,1.635,0.007,0.013,18558.0,6098.0,1.0
"b_z[Europe, 2018-10]",0.158,0.92,-1.364,1.655,0.007,0.011,17159.0,5988.0,1.0
"b_z[Europe, 2018-11]",0.326,0.938,-1.194,1.869,0.007,0.011,17786.0,6183.0,1.0
"b_z[Europe, 2018-12]",0.34,0.938,-1.239,1.86,0.007,0.011,20592.0,6040.0,1.0
"b_z[Europe, 2019-01]",0.249,0.936,-1.237,1.85,0.007,0.011,17322.0,6071.0,1.0
"b_z[Europe, 2019-02]",0.261,0.951,-1.356,1.762,0.007,0.012,17360.0,5713.0,1.0
"b_z[Europe, 2019-03]",0.092,0.986,-1.509,1.723,0.007,0.015,18299.0,5020.0,1.0
"b_z[Europe, 2019-04]",0.049,1.026,-1.553,1.814,0.007,0.014,21476.0,5431.0,1.0
"b_z[Europe, 2019-05]",0.035,0.958,-1.546,1.618,0.008,0.012,16120.0,5544.0,1.0
"b_z[Europe, 2019-06]",0.018,0.969,-1.543,1.651,0.008,0.013,16104.0,5503.0,1.0
"b_z[Europe, 2019-07]",-0.024,0.962,-1.595,1.514,0.007,0.013,19274.0,5811.0,1.0
"b_z[Europe, 2019-08]",-0.008,1.008,-1.647,1.633,0.007,0.013,19286.0,5933.0,1.0
"b_z[Europe, 2019-09]",0.002,1.011,-1.586,1.748,0.007,0.014,19613.0,5597.0,1.0
"b_z[Europe, 2019-10]",0.206,0.927,-1.38,1.687,0.007,0.012,18007.0,5588.0,1.0
"b_z[Europe, 2019-11]",0.384,0.822,-0.956,1.718,0.007,0.01,15398.0,5301.0,1.0
"b_z[Europe, 2019-12]",0.522,0.701,-0.588,1.694,0.005,0.007,17836.0,5889.0,1.0
"b_z[Europe, 2020-01]",0.512,0.715,-0.692,1.645,0.006,0.008,16360.0,5455.0,1.0
"b_z[Europe, 2020-02]",0.545,0.731,-0.646,1.729,0.006,0.007,16022.0,5287.0,1.0
"b_z[Europe, 2020-03]",-0.107,0.733,-1.289,1.105,0.005,0.009,18170.0,6436.0,1.0
"b_z[Europe, 2020-04]",-0.723,0.748,-1.965,0.479,0.006,0.006,15285.0,6404.0,1.0
"b_z[Europe, 2020-05]",-1.124,0.697,-2.273,0.011,0.006,0.005,12835.0,6444.0,1.0
"b_z[Europe, 2020-06]",-1.146,0.672,-2.201,-0.012,0.006,0.005,12987.0,5964.0,1.0
"b_z[Europe, 2020-07]",-1.019,0.623,-2.035,-0.001,0.005,0.005,13731.0,6244.0,1.0
"b_z[Europe, 2020-08]",-0.853,0.561,-1.782,0.067,0.005,0.004,14261.0,6868.0,1.0
"b_z[Europe, 2020-09]",-0.99,0.596,-1.949,-0.004,0.005,0.004,12237.0,6463.0,1.0
"b_z[Europe, 2020-10]",-1.053,0.647,-2.083,0.033,0.005,0.005,14315.0,6532.0,1.0
"b_z[Europe, 2020-11]",-1.043,0.736,-2.238,0.157,0.006,0.005,14728.0,6143.0,1.0
"b_z[Europe, 2020-12]",-0.868,0.795,-2.163,0.431,0.006,0.006,15485.0,6300.0,1.0
"b_z[Europe, 2021-01]",-0.69,0.873,-2.118,0.737,0.007,0.008,14772.0,6213.0,1.0
"b_z[Europe, 2021-02]",-0.333,0.962,-1.961,1.195,0.007,0.012,17371.0,6035.0,1.0
"b_z[Europe, 2021-03]",-0.322,0.991,-1.865,1.413,0.008,0.012,17201.0,5502.0,1.0
"b_z[Europe, 2021-04]",-0.412,0.976,-1.937,1.249,0.007,0.011,16962.0,5226.0,1.0
"b_z[Europe, 2021-05]",-0.718,0.836,-2.072,0.671,0.007,0.007,14352.0,6412.0,1.0
"b_z[Europe, 2021-06]",-0.772,0.794,-2.054,0.579,0.007,0.007,14598.0,6347.0,1.0
"b_z[Europe, 2021-07]",-0.614,0.708,-1.752,0.575,0.006,0.006,15195.0,6057.0,1.0
"b_z[Europe, 2021-08]",-0.47,0.749,-1.739,0.732,0.006,0.007,17586.0,6065.0,1.0
"b_z[Europe, 2021-09]",-0.478,0.86,-1.82,0.989,0.007,0.009,16180.0,5865.0,1.0
"b_z[Europe, 2021-10]",-0.228,0.957,-1.794,1.363,0.007,0.012,17215.0,5588.0,1.0
"b_z[Europe, 2021-11]",-0.049,1.003,-1.67,1.653,0.008,0.014,17437.0,5311.0,1.0
"b_z[Europe, 2021-12]",0.03,0.989,-1.705,1.554,0.008,0.012,17057.0,5457.0,1.0
"b_z[Europe, 2022-01]",0.115,0.987,-1.463,1.806,0.007,0.012,18117.0,6121.0,1.0
"b_z[Europe, 2022-02]",0.16,0.945,-1.424,1.658,0.007,0.012,16535.0,5904.0,1.0
"b_z[Europe, 2022-03]",0.126,0.925,-1.386,1.625,0.007,0.011,17818.0,5966.0,1.0
"b_z[Europe, 2022-04]",-0.007,0.912,-1.491,1.5,0.007,0.012,16319.0,5579.0,1.0
"b_z[Europe, 2022-05]",-0.142,0.971,-1.718,1.43,0.007,0.013,17834.0,5267.0,1.0
"b_z[Europe, 2022-06]",-0.188,0.997,-1.876,1.413,0.007,0.013,18189.0,5539.0,1.0
"b_z[Europe, 2022-07]",-0.135,0.992,-1.749,1.499,0.007,0.014,18582.0,5355.0,1.0
"b_z[Europe, 2022-08]",-0.099,1.004,-1.752,1.549,0.007,0.014,19945.0,5493.0,1.0
"b_z[Europe, 2022-09]",0.114,0.966,-1.424,1.749,0.008,0.012,15724.0,5531.0,1.0
"b_z[Europe, 2022-10]",0.2,0.976,-1.382,1.831,0.008,0.012,16302.0,5456.0,1.0
"b_z[Europe, 2022-11]",0.213,0.962,-1.328,1.846,0.007,0.013,17464.0,5739.0,1.0
"b_z[Europe, 2022-12]",0.36,0.972,-1.266,1.924,0.007,0.012,18251.0,5054.0,1.0
"b_z[Europe, 2023-01]",0.344,0.932,-1.184,1.842,0.007,0.012,16060.0,5432.0,1.0
"b_z[Europe, 2023-02]",0.331,0.947,-1.217,1.861,0.007,0.011,17400.0,5884.0,1.0
"b_z[Europe, 2023-03]",0.393,0.934,-1.078,1.971,0.007,0.011,19229.0,5631.0,1.0
"b_z[Europe, 2023-04]",0.292,0.977,-1.245,1.937,0.007,0.012,19759.0,5692.0,1.0
"b_z[Europe, 2023-05]",0.102,0.976,-1.551,1.639,0.007,0.013,21091.0,5673.0,1.0
"b_z[Europe, 2023-06]",-0.006,0.991,-1.692,1.57,0.007,0.013,19456.0,5147.0,1.0
"b_z[Europe, 2023-07]",0.075,0.938,-1.508,1.575,0.007,0.012,18833.0,6118.0,1.0
"b_z[Europe, 2023-08]",0.168,0.841,-1.203,1.594,0.006,0.01,16799.0,5821.0,1.0
"b_z[Europe, 2023-09]",0.253,0.789,-0.991,1.595,0.006,0.009,16958.0,5833.0,1.0
"b_z[Europe, 2023-10]",0.336,0.722,-0.801,1.584,0.006,0.008,15899.0,5303.0,1.0
"b_z[Europe, 2023-11]",0.696,0.634,-0.322,1.761,0.005,0.005,18554.0,5685.0,1.0
"b_z[Europe, 2023-12]",0.66,0.621,-0.338,1.691,0.005,0.005,17003.0,6108.0,1.0
c_l,0.456,0.028,0.41,0.503,0.0,0.0,7072.0,6600.0,1.0
"c_z[Africa, 2017-01]",0.161,1.007,-1.595,1.718,0.007,0.013,18078.0,5142.0,1.0
"c_z[Africa, 2017-02]",-0.081,1.003,-1.757,1.516,0.008,0.013,16991.0,5776.0,1.0
"c_z[Africa, 2017-03]",0.152,0.955,-1.405,1.709,0.007,0.012,18705.0,5513.0,1.0
"c_z[Africa, 2017-04]",0.166,0.98,-1.366,1.849,0.007,0.013,19930.0,5652.0,1.0
"c_z[Africa, 2017-05]",0.105,0.956,-1.527,1.626,0.007,0.013,19013.0,5994.0,1.0
"c_z[Africa, 2017-06]",0.115,0.973,-1.464,1.722,0.007,0.013,18922.0,5709.0,1.0
"c_z[Africa, 2017-07]",0.096,0.925,-1.419,1.603,0.007,0.012,17908.0,5693.0,1.0
"c_z[Africa, 2017-08]",0.019,0.911,-1.479,1.502,0.007,0.012,17271.0,5627.0,1.0
"c_z[Africa, 2017-09]",-0.026,0.95,-1.504,1.635,0.007,0.013,16520.0,5212.0,1.0
"c_z[Africa, 2017-10]",-0.074,0.959,-1.59,1.545,0.007,0.012,18190.0,5995.0,1.0
"c_z[Africa, 2017-11]",0.014,0.98,-1.554,1.696,0.007,0.013,17732.0,6037.0,1.0
"c_z[Africa, 2017-12]",0.042,0.958,-1.519,1.637,0.007,0.013,20556.0,5552.0,1.0
"c_z[Africa, 2018-01]",0.108,0.968,-1.506,1.676,0.007,0.013,18307.0,5744.0,1.0
"c_z[Africa, 2018-02]",0.028,1.014,-1.629,1.697,0.007,0.013,18694.0,6001.0,1.0
"c_z[Africa, 2018-03]",0.119,0.978,-1.42,1.771,0.007,0.012,18772.0,6461.0,1.0
"c_z[Africa, 2018-04]",-0.019,0.961,-1.655,1.481,0.007,0.013,18500.0,5325.0,1.0
"c_z[Africa, 2018-05]",-0.117,0.951,-1.666,1.437,0.007,0.012,17171.0,5749.0,1.0
"c_z[Africa, 2018-06]",-0.338,0.957,-1.934,1.207,0.007,0.011,18134.0,5711.0,1.0
"c_z[Africa, 2018-07]",-0.547,0.894,-2.001,0.902,0.007,0.009,15573.0,5951.0,1.0
"c_z[Africa, 2018-08]",-0.532,0.898,-1.997,0.907,0.007,0.01,17133.0,6033.0,1.0
"c_z[Africa, 2018-09]",-0.155,0.939,-1.814,1.298,0.007,0.012,17600.0,5506.0,1.0
"c_z[Africa, 2018-10]",-0.081,0.939,-1.607,1.483,0.007,0.013,16378.0,4888.0,1.0
"c_z[Africa, 2018-11]",-0.023,0.943,-1.532,1.528,0.007,0.013,18384.0,6138.0,1.0
"c_z[Africa, 2018-12]",0.09,0.951,-1.395,1.718,0.007,0.013,18674.0,5211.0,1.0
"c_z[Africa, 2019-01]",0.176,0.952,-1.356,1.747,0.007,0.013,20202.0,5262.0,1.0
"c_z[Africa, 2019-02]",0.112,1.007,-1.639,1.657,0.007,0.013,18889.0,5402.0,1.0
"c_z[Africa, 2019-03]",0.239,0.92,-1.268,1.755,0.007,0.011,19757.0,5466.0,1.0
"c_z[Africa, 2019-04]",0.188,0.943,-1.358,1.704,0.007,0.011,17534.0,5669.0,1.0
"c_z[Africa, 2019-05]",0.102,0.962,-1.571,1.61,0.007,0.013,18741.0,5248.0,1.0
"c_z[Africa, 2019-06]",-0.059,0.919,-1.641,1.388,0.006,0.012,20512.0,5899.0,1.0
"c_z[Africa, 2019-07]",-0.36,0.866,-1.765,1.088,0.006,0.01,20973.0,5299.0,1.0
"c_z[Africa, 2019-08]",-0.495,0.839,-1.928,0.856,0.007,0.009,16500.0,5616.0,1.0
"c_z[Africa, 2019-09]",-0.635,0.9,-2.077,0.879,0.007,0.009,16065.0,5646.0,1.0
"c_z[Africa, 2019-10]",-0.626,0.928,-2.107,0.912,0.007,0.009,18635.0,5749.0,1.0
"c_z[Africa, 2019-11]",-0.694,0.938,-2.262,0.802,0.007,0.009,15858.0,5295.0,1.0
"c_z[Africa, 2019-12]",-0.937,0.919,-2.377,0.648,0.008,0.008,13268.0,5521.0,1.0
"c_z[Africa, 2020-01]",-0.934,0.929,-2.45,0.608,0.007,0.008,16244.0,5454.0,1.0
"c_z[Africa, 2020-02]",-0.508,0.993,-2.039,1.225,0.007,0.012,17964.0,4990.0,1.0
"c_z[Africa, 2020-03]",0.641,0.958,-0.953,2.207,0.007,0.01,17225.0,5265.0,1.0
"c_z[Africa, 2020-04]",0.446,0.565,-0.439,1.418,0.005,0.005,14582.0,6289.0,1.0
"c_z[Africa, 2020-05]",0.497,0.56,-0.427,1.398,0.005,0.005,14455.0,6381.0,1.0
"c_z[Africa, 2020-06]",0.509,0.553,-0.379,1.425,0.005,0.005,13756.0,6058.0,1.0
"c_z[Africa, 2020-07]",0.694,0.594,-0.274,1.684,0.005,0.005,13637.0,6228.0,1.0
"c_z[Africa, 2020-08]",0.884,0.645,-0.176,1.946,0.005,0.005,13819.0,5840.0,1.0
"c_z[Africa, 2020-09]",1.04,0.668,-0.084,2.111,0.006,0.005,14356.0,6397.0,1.0
"c_z[Africa, 2020-10]",1.172,0.689,0.026,2.299,0.006,0.005,15089.0,5855.0,1.0
"c_z[Africa, 2020-11]",1.198,0.679,0.007,2.248,0.006,0.005,13897.0,6456.0,1.0
"c_z[Africa, 2020-12]",1.248,0.755,-0.015,2.465,0.006,0.005,15549.0,6463.0,1.0
"c_z[Africa, 2021-01]",1.195,0.734,0.067,2.481,0.006,0.005,14828.0,6384.0,1.0
"c_z[Africa, 2021-02]",1.052,0.707,-0.131,2.174,0.006,0.005,15634.0,6127.0,1.0
"c_z[Africa, 2021-03]",1.103,0.717,-0.063,2.286,0.006,0.005,14689.0,6000.0,1.0
"c_z[Africa, 2021-04]",1.151,0.717,0.001,2.327,0.006,0.005,15535.0,6266.0,1.0
