var,year,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
antigenic-drift,2021,Western Asia,-0.25992354711274107,0.16571217122468251,-0.5318435520348107,0.010212707633059344,-0.5958119903425421,0.054998327066379055
antigenic-drift,2020,Western Asia,-0.29826029421868516,0.15325079617431434,-0.544210844709538,-0.04368856758250879,-0.5948350520489334,0.007486750036735399
antigenic-drift,2019,Western Asia,-0.23967496331790727,0.1610710876084033,-0.4969720350877909,0.03502427459512196,-0.5396536259429596,0.08837512588634258
antigenic-drift,2018,Western Asia,-0.16344214039353483,0.15424400950815936,-0.4275810101280663,0.08045618531288579,-0.47419593140068345,0.13829874423080232
antigenic-drift,2017,Western Asia,-0.09790717348543711,0.1560073653483693,-0.360299038993742,0.15578511905188822,-0.39460055869188976,0.21771163196731622
antigenic-drift,2023,South America,-0.36401432041371995,0.27318469811510715,-0.8093002695122878,0.08957671227768692,-0.9383339715911234,0.13731699825078902
antigenic-drift,2022,South America,-0.23757610836044185,0.1505753988594421,-0.4891894681733163,0.010854561660875147,-0.5518777837632823,0.04657545186534309
antigenic-drift,2021,South America,-0.5196183057910735,0.14929655180634882,-0.7666337484642032,-0.27952045547578425,-0.8291059955730696,-0.24476815661971596
antigenic-drift,2020,South America,-0.6217973924699607,0.12081443537943863,-0.821763649244806,-0.4262078631630784,-0.8533252312693697,-0.38959800915817316
antigenic-drift,2019,South America,-0.1919583693388156,0.16130282317513234,-0.45899543927627723,0.07300610431297792,-0.4976668048303974,0.12890873573091075
antigenic-drift,2018,South America,-0.28809581072662876,0.16100261233830376,-0.5435873306370361,-0.02751275621747232,-0.6059364397026422,0.02009641064411749
antigenic-drift,2017,South America,-0.18377405820968634,0.14717775383454315,-0.42193233549498627,0.058574627545039705,-0.47909639942818477,0.09156952678015405
antigenic-drift,2023,South China,-0.17481006205721752,0.23985431506510174,-0.5679805973339118,0.22039990269127108,-0.6516945152653091,0.29471663607259274
antigenic-drift,2022,South China,-0.05121939280774183,0.0905662323883704,-0.2006348725630587,0.09812160947914891,-0.22875914015590307,0.13064654800904146
antigenic-drift,2021,South China,-0.06686705905349737,0.10945902499033143,-0.2466913058786405,0.11431231384967316,-0.27724042766058665,0.15124342502342414
antigenic-drift,2020,South China,0.18822546779339774,0.16889695242844513,-0.09879710551489408,0.4523193072191155,-0.14456854529927335,0.5096706241863069
antigenic-drift,2019,South China,-0.2274310876239073,0.16023387530515767,-0.48332799607450044,0.04618448481820436,-0.5339506684734737,0.08776534211143724
antigenic-drift,2018,South China,-0.152524245720194,0.16509491466274423,-0.4218479862473892,0.12133471296982287,-0.4772663582877032,0.16745780818808254
antigenic-drift,2017,South China,-0.1403758936429812,0.16193448663174545,-0.4071350249073923,0.1235429002994651,-0.4546955074388581,0.17754164677639414
antigenic-drift,2023,South-eastern Asia,-0.323497313322853,0.2691891556457507,-0.7504501128745412,0.12694735788825967,-0.836260598047557,0.22914201198167417
antigenic-drift,2022,South-eastern Asia,-0.18216371469185788,0.1656952612829622,-0.46905578783344387,0.0751943354172391,-0.5058836872934482,0.14563657597734853
antigenic-drift,2021,South-eastern Asia,-0.1578431854904011,0.15585062499012284,-0.4025480927177496,0.1107594092834796,-0.4480949859641795,0.16672712309580476
antigenic-drift,2020,South-eastern Asia,-0.23496885957780791,0.16726563214526316,-0.5086438162694361,0.03932261560274655,-0.5691042602203837,0.08816001718858214
antigenic-drift,2019,South-eastern Asia,-0.18761862275815328,0.1651154414571899,-0.4407570292242808,0.10325008107065203,-0.5001432767686675,0.15011360669467455
antigenic-drift,2018,South-eastern Asia,-0.339519797870953,0.15493863932578597,-0.602196656535918,-0.09086621319081795,-0.648215860252954,-0.0406574268094956
antigenic-drift,2017,South-eastern Asia,-0.26996790227359085,0.16304033520518468,-0.5314172359752862,0.0020960006381214352,-0.578203057423014,0.057558816560905154
antigenic-drift,2023,Southern Asia,-0.3362886803099396,0.26655094827983405,-0.7810765115538433,0.09529314084023234,-0.843338286835482,0.20173849704746577
antigenic-drift,2022,Southern Asia,-1.0209213899297065,0.21279638850077504,-1.3795217701893063,-0.6893917294395415,-1.4427840958633833,-0.628377039274024
antigenic-drift,2021,Southern Asia,0.30334823083395557,0.19485588199945375,-0.025668448088299937,0.6017721877581507,-0.06835870667438713,0.6837987580883631
antigenic-drift,2020,Southern Asia,-0.013394237392014754,0.14033719158330835,-0.23572354827897748,0.23110052954615934,-0.2886146215183814,0.26295657437159603
antigenic-drift,2019,Southern Asia,-0.1483122704474734,0.15902775822912607,-0.4111585653847477,0.11218479221126348,-0.45637936350757324,0.1663705890542338
antigenic-drift,2018,Southern Asia,-0.2141785874991985,0.15746337710430147,-0.4689960411260603,0.04756655848343095,-0.5262520602622257,0.08994893307591201
antigenic-drift,2017,Southern Asia,-0.16250637896590386,0.15992604013037756,-0.42888015757166803,0.0930468129415713,-0.46306274910478784,0.1569815192116689
antigenic-drift,2023,Russia,-0.22944133465567876,0.26894455585013693,-0.6741455466955767,0.19668845139927582,-0.7779411768262084,0.2863882780586789
antigenic-drift,2022,Russia,-0.10416374166877589,0.16511982079589635,-0.3673979316563564,0.17928850260412527,-0.415923642289466,0.2304165983711561
antigenic-drift,2021,Russia,-0.29441976612779375,0.1289435269434105,-0.5086524857637943,-0.08473331001828138,-0.5466034684578557,-0.04303737937580958
antigenic-drift,2020,Russia,-0.5420045044985493,0.15960361671849052,-0.8013367130109952,-0.2762431713239808,-0.84556034047825,-0.21857766102297027
antigenic-drift,2019,Russia,-0.08271456772012346,0.153178979427716,-0.3476346660293164,0.1566830863569255,-0.3896361694461495,0.2078242789213541
antigenic-drift,2018,Russia,-0.10115657505654867,0.16205639058990354,-0.36944798219056474,0.15970905088930867,-0.4178242198941089,0.2163162567617248
antigenic-drift,2017,Russia,-0.11432078558567463,0.15155926824414256,-0.3595429454697654,0.13634770688371828,-0.41783781720591157,0.18196922195306023
antigenic-drift,2023,Europe,-0.016809127211560793,0.2702113103471448,-0.4831825209285876,0.41063120329036784,-0.533727801842361,0.5310043977830347
antigenic-drift,2022,Europe,-0.18749981277662608,0.1694830645978203,-0.4574073469460726,0.09669439991481275,-0.5257879571041033,0.1367914194330693
antigenic-drift,2021,Europe,-0.4599049878083115,0.15717829588277768,-0.704297277167752,-0.1892933504649313,-0.7546532395313488,-0.1431290790719031
antigenic-drift,2020,Europe,-0.5534979340672718,0.11927800554162374,-0.7395476113113507,-0.34964905099847,-0.7874414202275044,-0.32165880115951057
antigenic-drift,2019,Europe,-0.14183558630313234,0.16547418295202956,-0.4131973226056013,0.13193423334614773,-0.4757782581084484,0.1797392656604375
antigenic-drift,2018,Europe,-0.11477920713087783,0.16314902686672988,-0.38776402993135856,0.14636610274312217,-0.42545738053540094,0.21673864360786277
antigenic-drift,2017,Europe,-0.11232105492159261,0.1553321069898773,-0.37854306463452403,0.1335921640541208,-0.4070675280327362,0.20559021765481808
