var,year,region,mean,sd,hdi_5%,hdi_95%,hdi_2.5%,hdi_97.5%
air-traffic,2022,North America,0.4580255486552348,0.10954127309760607,0.2796753820366487,0.6405544546709661,0.2423327804328543,0.6745152248965626
air-traffic,2021,North America,0.38900357336633906,0.1092935114441219,0.2141885148182048,0.5709096688194911,0.17670868637971468,0.603809864915275
air-traffic,2020,North America,0.3816745392240208,0.08668513831875009,0.2460353784806294,0.5296029253237061,0.21365571162861333,0.5522066672461053
air-traffic,2019,North America,0.30073838389895136,0.10787835635157418,0.12820744542941456,0.4811840301824853,0.08779170187915745,0.5097583582829649
air-traffic,2018,North America,0.3284951473969697,0.10694324009499959,0.15558678822648853,0.5063926865336983,0.11959310192437264,0.5343162466942784
air-traffic,2017,North America,0.44140555491888506,0.1121078236907408,0.2626653427096819,0.633006188117826,0.23380900559974513,0.6698716749666435
air-traffic,2023,North China,0.4804374654881062,0.19545675270357993,0.157219384841551,0.7929281147712736,0.11073619358534864,0.8731416735740162
air-traffic,2022,North China,0.537979423679684,0.09278917354677309,0.38263296263439806,0.6857370856287865,0.3554258616075494,0.7164093526122773
air-traffic,2021,North China,0.3330779458430692,0.10171297186049431,0.1666857534148166,0.5015475878283662,0.13743237812850562,0.5336889214742623
air-traffic,2020,North China,0.32989580581536804,0.10337802510670006,0.16150626572305704,0.5002241933165488,0.12578574775255985,0.5310307356340226
air-traffic,2019,North China,0.440934666108901,0.10128675057425585,0.27351541297703746,0.6062551667366964,0.24178384266052058,0.6426211501904114
air-traffic,2018,North China,0.49905642481402335,0.11297378943062164,0.3195572041404626,0.687157037583578,0.2807345660114844,0.7252222371546955
air-traffic,2017,North China,0.49551361712616554,0.11768535608751518,0.3085713419058345,0.6948330531755625,0.27087253088954233,0.7328849664622649
air-traffic,2023,Oceania,0.4933500591164488,0.1796699149812702,0.19184956676322099,0.779946469106054,0.14118821666364811,0.8471503283472424
air-traffic,2022,Oceania,0.3741713006930479,0.10980922233688323,0.19549776369021601,0.5542995928942239,0.15903660924353083,0.5866966455030241
air-traffic,2021,Oceania,0.38489911537598437,0.08722781823511554,0.24541594131576092,0.5287832238012599,0.20774692888000781,0.551031585405858
air-traffic,2020,Oceania,0.4209136590765938,0.07946582282423895,0.2871902758044134,0.5483329860669077,0.2682728808206268,0.5839899501197403
air-traffic,2019,Oceania,0.3543904278938876,0.09380183388936802,0.20993394786762323,0.5206297027118386,0.1672681501066122,0.5342030956538424
air-traffic,2018,Oceania,0.5229942486010813,0.09542169421103604,0.37616761602137666,0.6872792636430533,0.3322374834562567,0.7072969847282692
air-traffic,2017,Oceania,0.462137173637068,0.09899347657569145,0.2984153752289193,0.6245925937178739,0.2699421280934086,0.6575931040721915
air-traffic,2023,Western Asia,0.4633064643170626,0.19830225408851784,0.13271179106940983,0.7827616137497644,0.08006438169880767,0.8589473591705363
air-traffic,2022,Western Asia,0.41980173428107653,0.1109212188598412,0.23419008503438207,0.603137689785638,0.20523281902605836,0.644681752463767
air-traffic,2021,Western Asia,0.31292967841049063,0.08738400259505194,0.16700172473998995,0.45182533017318943,0.14250658210357778,0.47952966394013524
air-traffic,2020,Western Asia,0.4067762769009192,0.08375544615225472,0.27992472550489444,0.5549462733164404,0.2483901639941636,0.5733939443768453
air-traffic,2019,Western Asia,0.43039667002072635,0.1154114458996121,0.24096197679278955,0.6190906163729425,0.19206703074484316,0.6542841558909054
air-traffic,2018,Western Asia,0.49443886178661967,0.11144807446262849,0.31561735835594634,0.677461211216814,0.28373344263925326,0.7210590378090855
air-traffic,2017,Western Asia,0.49763576772035645,0.1169964597137388,0.30590513805869657,0.6837729084051897,0.27571886612809376,0.7309912047918011
air-traffic,2023,South America,0.22209033436202055,0.17850258826774723,-0.07527483043029028,0.5112717206268254,-0.11995863771415644,0.5735936558446191
air-traffic,2022,South America,0.4542001895958432,0.11383531036092907,0.27329448625537733,0.6469989253487394,0.22957572251650474,0.6738958686982855
air-traffic,2021,South America,0.4970142614253055,0.10478934712384072,0.32925800136545197,0.6717990901185956,0.28504384314274234,0.6962672072047883
air-traffic,2020,South America,0.6523357623128241,0.08608457210090627,0.5128869331743164,0.7950200939656603,0.4787593516205586,0.8170979562096065
air-traffic,2019,South America,0.356850944305794,0.1036296387136143,0.19236017104764153,0.5283943165187908,0.1547349351167182,0.5559065843737021
air-traffic,2018,South America,0.44946130291415476,0.10775687888314349,0.2737019419375269,0.6261145442559259,0.23684688250822686,0.6556863595894288
air-traffic,2017,South America,0.4826631097182434,0.11159565831053854,0.29825501039283625,0.6643132721462692,0.2642940088130579,0.7031253328857309
air-traffic,2023,South China,0.451755446726835,0.18427927403474292,0.15707209113428766,0.7549471880229652,0.0720982376182904,0.7929013941901891
air-traffic,2022,South China,0.9544116060741129,0.12858528370789166,0.7473181623621973,1.1717355127753213,0.7056613028190317,1.2069214554483951
air-traffic,2021,South China,0.5051755336860431,0.1086069086042412,0.3254463632700457,0.6841493947834753,0.2773216954736684,0.7049065887604608
air-traffic,2020,South China,0.4881474785197369,0.1031718869635555,0.3165892599572891,0.6578140046079473,0.2797707926138217,0.6879155946472048
air-traffic,2019,South China,0.27973359738647535,0.10058344609482607,0.11234180210133358,0.44176417110674626,0.08037900076863182,0.47477466933877643
air-traffic,2018,South China,0.5097166205302281,0.10218837375883431,0.3487155459692196,0.6847820200539363,0.3058948575090088,0.7081809513393428
air-traffic,2017,South China,0.50257195450221,0.11298902667999519,0.3199830256007303,0.6890989928360429,0.2808859240433488,0.7252114477159534
air-traffic,2023,South-eastern Asia,0.4582672886932069,0.18909317654540012,0.15230774951571338,0.7679996591968211,0.08329869551241816,0.81539674461315
air-traffic,2022,South-eastern Asia,0.3314726358022742,0.10559205183274827,0.16271814734432757,0.5117970494729998,0.11294019869100361,0.5285481624700513
air-traffic,2021,South-eastern Asia,0.47690856394371817,0.07423119970121175,0.35409528787571054,0.5973194973054199,0.33388003328456833,0.621287079266191
air-traffic,2020,South-eastern Asia,0.33959835304751207,0.08348919884080386,0.20332222476188877,0.47829963922565694,0.17370222096854904,0.5004421598513568
air-traffic,2019,South-eastern Asia,0.44465779458151417,0.10066350223508713,0.2772755181533164,0.6067722645459425,0.24599417553087308,0.6388834676342222
