period,region_final_dep,region_final_arr,Num_month,Num,Num_per_month
Period 2,Southern Asia,Japan/Korea,12,110353,9196.1
Period 2,Southern Asia,North America,12,851882,70990.2
Period 2,Southern Asia,North China,12,34373,2864.4
Period 2,Southern Asia,Oceania,12,64802,5400.2
Period 2,Southern Asia,Russia,12,114356,9529.7
Period 2,Southern Asia,South America,12,16862,1405.2
Period 2,Southern Asia,South China,12,201665,16805.4
Period 2,Southern Asia,South-eastern Asia,12,479334,39944.5
Period 2,Southern Asia,Southern Asia,,NA,NA
Period 2,Southern Asia,Western Asia,12,6067864,505655.3
Period 2,Western Asia,Africa,12,3508576,292381.3
Period 2,Western Asia,Europe,12,7404445,617037.1
Period 2,Western Asia,Japan/Korea,12,165002,13750.2
Period 2,Western Asia,North America,12,788587,65715.6
Period 2,Western Asia,North China,12,37110,3092.5
Period 2,Western Asia,Oceania,12,137589,11465.8
Period 2,Western Asia,Russia,12,1087630,90635.8
Period 2,Western Asia,South America,12,75741,6311.8
Period 2,Western Asia,South China,12,203130,16927.5
Period 2,Western Asia,South-eastern Asia,12,1084324,90360.3
Period 2,Western Asia,Southern Asia,12,6403707,533642.2
Period 2,Western Asia,Western Asia,,NA,NA
Period 3,Africa,Africa,,NA,NA
Period 3,Africa,Europe,24,37135512,1547313
Period 3,Africa,Japan/Korea,24,239841,9993.4
Period 3,Africa,North America,24,4829012,201208.8
Period 3,Africa,North China,24,44988,1874.5
Period 3,Africa,Oceania,24,312964,13040.2
Period 3,Africa,Russia,24,1014414,42267.2
Period 3,Africa,South America,24,246750,10281.2
Period 3,Africa,South China,24,367823,15326
Period 3,Africa,South-eastern Asia,24,739872,30828
Period 3,Africa,Southern Asia,24,1729980,72082.5
Period 3,Africa,Western Asia,24,21092327,878847
Period 3,Europe,Africa,24,37070330,1544597.1
Period 3,Europe,Europe,,NA,NA
Period 3,Europe,Japan/Korea,24,2973156,123881.5
Period 3,Europe,North America,24,43728493,1822020.5
Period 3,Europe,North China,24,281003,11708.5
Period 3,Europe,Oceania,24,2129375,88724
Period 3,Europe,Russia,24,6749847,281243.6
Period 3,Europe,South America,24,9781620,407567.5
Period 3,Europe,South China,24,1715355,71473.1
Period 3,Europe,South-eastern Asia,24,7306576,304440.7
Period 3,Europe,Southern Asia,24,10245320,426888.3
Period 3,Europe,Western Asia,24,56530895,2355454
Period 3,Japan/Korea,Africa,24,228116,9504.8
Period 3,Japan/Korea,Europe,24,3120602,130025.1
Period 3,Japan/Korea,Japan/Korea,,NA,NA
Period 3,Japan/Korea,North America,24,4982627,207609.5
Period 3,Japan/Korea,North China,24,583770,24323.8
Period 3,Japan/Korea,Oceania,24,813935,33914
Period 3,Japan/Korea,Russia,24,137157,5714.9
Period 3,Japan/Korea,South America,24,179342,7472.6
Period 3,Japan/Korea,South China,24,4439628,184984.5
Period 3,Japan/Korea,South-eastern Asia,24,10435056,434794
Period 3,Japan/Korea,Southern Asia,24,857956,35748.2
Period 3,Japan/Korea,Western Asia,24,632585,26357.7
Period 3,North America,Africa,24,4347992,181166.3
Period 3,North America,Europe,24,42331215,1763800.6
Period 3,North America,Japan/Korea,24,5059915,210829.8
Period 3,North America,North America,,NA,NA
Period 3,North America,North China,24,133657,5569
Period 3,North America,Oceania,24,2067941,86164.2
Period 3,North America,Russia,24,288950,12039.6
Period 3,North America,South America,24,13768839,573701.6
Period 3,North America,South China,24,1786274,74428.1
Period 3,North America,South-eastern Asia,24,4190658,174610.8
Period 3,North America,Southern Asia,24,6246201,260258.4
Period 3,North America,Western Asia,24,7173273,298886.4
Period 3,North China,Africa,24,69285,2886.9
Period 3,North China,Europe,24,355010,14792.1
Period 3,North China,Japan/Korea,24,615355,25639.8
Period 3,North China,North America,24,249388,10391.2
Period 3,North China,North China,,NA,NA
Period 3,North China,Oceania,24,159514,6646.4
Period 3,North China,Russia,24,44546,1856.1
Period 3,North China,South America,24,7495,312.3
Period 3,North China,South China,24,159485158,6645214.9
Period 3,North China,South-eastern Asia,24,659929,27497
Period 3,North China,Southern Asia,24,148905,6204.4
Period 3,North China,Western Asia,24,109774,4573.9
Period 3,Oceania,Africa,24,286221,11925.9
Period 3,Oceania,Europe,24,2280883,95036.8
Period 3,Oceania,Japan/Korea,24,844463,35186
Period 3,Oceania,North America,24,2142850,89285.4
Period 3,Oceania,North China,24,104315,4346.5
Period 3,Oceania,Oceania,,NA,NA
Period 3,Oceania,Russia,24,18534,772.2
Period 3,Oceania,South America,24,149291,6220.5
Period 3,Oceania,South China,24,825237,34384.9
Period 3,Oceania,South-eastern Asia,24,4256883,177370.1
Period 3,Oceania,Southern Asia,24,1548732,64530.5
Period 3,Oceania,Western Asia,24,680656,28360.7
Period 3,Russia,Africa,24,1028169,42840.4
Period 3,Russia,Europe,24,6870065,286252.7
Period 3,Russia,Japan/Korea,24,159698,6654.1
Period 3,Russia,North America,24,312599,13025
Period 3,Russia,North China,24,42475,1769.8
Period 3,Russia,Oceania,24,21314,888.1
Period 3,Russia,Russia,,NA,NA
Period 3,Russia,South America,24,50814,2117.2
Period 3,Russia,South China,24,101730,4238.8
Period 3,Russia,South-eastern Asia,24,721210,30050.4
Period 3,Russia,Southern Asia,24,737489,30728.7
Period 3,Russia,Western Asia,24,8507999,354500
Period 3,South America,Africa,24,198325,8263.5
Period 3,South America,Europe,24,9674634,403109.8
Period 3,South America,Japan/Korea,24,166457,6935.7
Period 3,South America,North America,24,13809380,575390.8
Period 3,South America,North China,24,4258,177.4
Period 3,South America,Oceania,24,155325,6471.9
Period 3,South America,Russia,24,40838,1701.6
Period 3,South America,South America,,NA,NA
Period 3,South America,South China,24,51092,2128.8
Period 3,South America,South-eastern Asia,24,154970,6457.1
Period 3,South America,Southern Asia,24,119414,4975.6
Period 3,South America,Western Asia,24,650646,27110.2
Period 3,South China,Africa,24,403540,16814.2
Period 3,South China,Europe,24,1788455,74519
Period 3,South China,Japan/Korea,24,4473293,186387.2
Period 3,South China,North America,24,1967781,81990.9
Period 3,South China,North China,24,160343572,6680982.2
Period 3,South China,Oceania,24,808740,33697.5
Period 3,South China,Russia,24,111404,4641.8
Period 3,South China,South America,24,58077,2419.9
Period 3,South China,South China,,NA,NA
Period 3,South China,South-eastern Asia,24,6789703,282904.3
Period 3,South China,Southern Asia,24,708856,29535.7
Period 3,South China,Western Asia,24,570861,23785.9
Period 3,South-eastern Asia,Africa,24,739105,30796
Period 3,South-eastern Asia,Europe,24,7130715,297113.1
Period 3,South-eastern Asia,Japan/Korea,24,10765838,448576.6
Period 3,South-eastern Asia,North America,24,4490650,187110.4
Period 3,South-eastern Asia,North China,24,548184,22841
Period 3,South-eastern Asia,Oceania,24,4399085,183295.2
Period 3,South-eastern Asia,Russia,24,664649,27693.7
Period 3,South-eastern Asia,South America,24,173843,7243.5
Period 3,South-eastern Asia,South China,24,6341345,264222.7
Period 3,South-eastern Asia,South-eastern Asia,,NA,NA
Period 3,South-eastern Asia,Southern Asia,24,6721190,280049.6
Period 3,South-eastern Asia,Western Asia,24,6392447,266352
Period 3,Southern Asia,Africa,24,1887120,78630
Period 3,Southern Asia,Europe,24,11245737,468572.4
Period 3,Southern Asia,Japan/Korea,24,814868,33952.8
Period 3,Southern Asia,North America,24,7106586,296107.8
Period 3,Southern Asia,North China,24,100145,4172.7
Period 3,Southern Asia,Oceania,24,1648689,68695.4
Period 3,Southern Asia,Russia,24,772577,32190.7
Period 3,Southern Asia,South America,24,127390,5307.9
Period 3,Southern Asia,South China,24,649001,27041.7
